case_mode	case_n	case_seed	call_idx	currentV	currentE	currentQ	q_over_e	attachCuts	boundarySize	oldBoundarySize	boundaryZero	ccOne	dense_guard	boundary_guard	E_guard	Q_guard	badQueriesShape	fallback_total_ms	fallback_local_id_adj_ms	fallback_step3_ms	fallback_keep_order_ms	fallback_applyPatch_ms	shadow_prefilter_hit	shadow_attempted	shadow_match	shadow_mismatch_reason	validator_shadow_fail
comb_dense	256	1	1	254	18174	6473	0.356168	0	0	0	1	1	1	0	1	1	Q6473_A0_B0_OB0_BZ1_CC1	1.774	0.000	0.000	0.223	0.000	1	1	0	debug_off	0
comb_dense	256	1	2	252	17944	6409	0.357167	0	0	0	1	1	1	0	1	1	Q6409_A0_B0_OB0_BZ1_CC1	1.608	0.000	0.000	0.156	0.000	1	1	0	debug_off	0
comb_dense	256	1	3	250	17706	6344	0.358297	0	0	0	1	1	1	0	1	1	Q6344_A0_B0_OB0_BZ1_CC1	1.958	0.000	0.000	0.200	0.000	1	1	0	debug_off	0
comb_dense	256	1	4	248	17450	6271	0.359370	0	0	0	1	1	1	0	1	1	Q6271_A0_B0_OB0_BZ1_CC1	2.059	0.000	0.000	0.596	0.000	1	1	0	debug_off	0
comb_dense	256	1	5	246	17214	6203	0.360346	0	0	0	1	1	1	0	1	1	Q6203_A0_B0_OB0_BZ1_CC1	1.256	0.000	0.000	0.157	0.000	1	1	0	debug_off	0
comb_dense	256	1	6	244	16965	6131	0.361391	0	0	0	1	1	1	0	1	1	Q6131_A0_B0_OB0_BZ1_CC1	1.239	0.000	0.000	0.144	0.000	1	1	0	debug_off	0
comb_dense	256	1	7	242	16718	6055	0.362184	0	0	0	1	1	1	0	1	1	Q6055_A0_B0_OB0_BZ1_CC1	1.220	0.000	0.000	0.150	0.000	1	1	0	debug_off	0
comb_dense	256	1	8	240	16476	5985	0.363256	0	0	0	1	1	1	0	1	1	Q5985_A0_B0_OB0_BZ1_CC1	2.431	0.000	0.000	0.227	0.000	1	1	0	debug_off	0
comb_dense	256	1	9	238	16239	5908	0.363816	0	0	0	1	1	1	0	1	1	Q5908_A0_B0_OB0_BZ1_CC1	2.698	0.000	0.000	0.243	0.000	1	1	0	debug_off	0
comb_dense	256	1	10	236	16024	5849	0.365015	0	0	0	1	1	1	0	1	1	Q5849_A0_B0_OB0_BZ1_CC1	1.880	0.000	0.000	0.188	0.000	1	1	0	debug_off	0
comb_dense	256	1	11	234	15804	5783	0.365920	0	0	0	1	1	1	0	1	1	Q5783_A0_B0_OB0_BZ1_CC1	1.286	0.000	0.000	0.161	0.000	1	1	0	debug_off	0
comb_dense	256	1	12	232	15567	5714	0.367059	0	0	0	1	1	1	0	1	1	Q5714_A0_B0_OB0_BZ1_CC1	1.840	0.000	0.000	0.146	0.000	1	1	0	debug_off	0
comb_dense	256	1	13	229	15272	5576	0.365113	1	1	1	0	1	1	0	1	1	Q5576_A1_B1_OB1_BZ0_CC1	1.596	0.000	0.000	0.173	0.000	1	1	0	debug_off	0
comb_dense	256	1	14	228	15118	5576	0.368832	0	0	0	1	1	1	0	1	1	Q5576_A0_B0_OB0_BZ1_CC1	1.486	0.000	0.000	0.141	0.000	1	1	0	debug_off	0
comb_dense	256	1	15	226	14914	5513	0.369653	0	0	0	1	1	1	0	1	1	Q5513_A0_B0_OB0_BZ1_CC1	1.564	0.000	0.000	0.172	0.000	1	1	0	debug_off	0
comb_dense	256	1	16	224	14699	5449	0.370705	0	0	0	1	1	1	0	1	1	Q5449_A0_B0_OB0_BZ1_CC1	11.238	0.000	0.000	0.185	0.000	1	1	0	debug_off	0
comb_dense	256	1	17	222	14489	5386	0.371730	0	0	0	1	1	1	0	1	1	Q5386_A0_B0_OB0_BZ1_CC1	2.057	0.000	0.000	0.170	0.000	1	1	0	debug_off	0
comb_dense	256	1	18	220	14266	5318	0.372774	0	0	0	1	1	1	0	1	1	Q5318_A0_B0_OB0_BZ1_CC1	2.001	0.000	0.000	0.261	0.000	1	1	0	debug_off	0
comb_dense	256	1	19	217	13995	5186	0.370561	1	1	1	0	1	1	0	1	1	Q5186_A1_B1_OB1_BZ0_CC1	1.550	0.000	0.000	0.203	0.000	1	1	0	debug_off	0
comb_dense	256	1	20	215	13776	5122	0.371806	1	1	1	0	1	1	0	1	1	Q5122_A1_B1_OB1_BZ0_CC1	1.315	0.000	0.000	0.134	0.000	1	1	0	debug_off	0
comb_dense	256	1	21	214	13637	5122	0.375596	0	0	0	1	1	1	0	1	1	Q5122_A0_B0_OB0_BZ1_CC1	1.374	0.000	0.000	0.137	0.000	1	1	0	debug_off	0
