case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	256	1	1	253	253	0	0	0	0.000000	818.534	round45_shadow_prefilter
comb_dense	256	1	2	251	251	0	0	0	0.000000	979.556	round45_shadow_prefilter
comb_dense	256	1	3	249	249	0	0	0	0.000000	726.293	round45_shadow_prefilter
comb_dense	256	1	4	247	247	0	0	0	0.000000	777.328	round45_shadow_prefilter
comb_dense	256	1	5	245	245	0	0	0	0.000000	694.369	round45_shadow_prefilter
comb_dense	256	1	6	243	243	0	0	0	0.000000	867.042	round45_shadow_prefilter
comb_dense	256	1	7	241	241	0	0	0	0.000000	850.359	round45_shadow_prefilter
comb_dense	256	1	8	239	239	0	0	0	0.000000	1122.619	round45_shadow_prefilter
comb_dense	256	1	9	237	237	0	0	0	0.000000	1574.932	round45_shadow_prefilter
comb_dense	256	1	10	235	235	0	0	0	0.000000	1083.387	round45_shadow_prefilter
comb_dense	256	1	11	233	232	0	1	0	0.000000	925.928	round45_shadow_prefilter
comb_dense	256	1	12	231	231	0	0	0	0.000000	559.741	round45_shadow_prefilter
comb_dense	256	1	13	228	228	0	0	0	0.000000	589.720	round45_shadow_prefilter
comb_dense	256	1	14	227	227	0	0	0	0.000000	528.900	round45_shadow_prefilter
comb_dense	256	1	15	225	225	0	0	0	0.000000	737.891	round45_shadow_prefilter
comb_dense	256	1	16	223	223	0	0	0	0.000000	846.141	round45_shadow_prefilter
comb_dense	256	1	17	221	220	0	1	0	0.000000	703.343	round45_shadow_prefilter
comb_dense	256	1	18	219	219	0	0	0	0.000000	538.326	round45_shadow_prefilter
comb_dense	256	1	19	216	216	0	0	0	0.000000	530.106	round45_shadow_prefilter
comb_dense	256	1	20	214	214	0	0	0	0.000000	539.226	round45_shadow_prefilter
comb_dense	256	1	21	213	213	0	0	0	0.000000	467.282	round45_shadow_prefilter
comb_dense	256	1	22	210	210	0	0	0	0.000000	918.656	round45_shadow_prefilter
comb_dense	256	1	23	208	208	0	0	0	0.000000	411.312	round45_shadow_prefilter
comb_dense	256	1	24	206	206	0	0	0	0.000000	429.424	round45_shadow_prefilter
comb_dense	256	1	25	205	205	0	0	0	0.000000	438.632	round45_shadow_prefilter
comb_dense	256	1	26	203	203	0	0	0	0.000000	365.958	round45_shadow_prefilter
comb_dense	256	1	27	201	201	0	0	0	0.000000	492.743	round45_shadow_prefilter
comb_dense	256	1	28	199	199	0	0	0	0.000000	397.785	round45_shadow_prefilter
comb_dense	256	1	29	197	196	0	1	0	0.000000	359.737	round45_shadow_prefilter
comb_dense	256	1	30	195	195	0	0	0	0.000000	353.556	round45_shadow_prefilter
