case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	256	1	1	253	253	0	0	0	0.000000	781.782	round45_shadow_prefilter
comb_dense	256	1	2	251	251	0	0	0	0.000000	652.680	round45_shadow_prefilter
comb_dense	256	1	3	249	249	0	0	0	0.000000	609.121	round45_shadow_prefilter
comb_dense	256	1	4	247	247	0	0	0	0.000000	665.751	round45_shadow_prefilter
comb_dense	256	1	5	245	245	0	0	0	0.000000	704.136	round45_shadow_prefilter
comb_dense	256	1	6	243	243	0	0	0	0.000000	647.800	round45_shadow_prefilter
comb_dense	256	1	7	241	241	0	0	0	0.000000	532.862	round45_shadow_prefilter
comb_dense	256	1	8	239	239	0	0	0	0.000000	538.846	round45_shadow_prefilter
comb_dense	256	1	9	237	237	0	0	0	0.000000	535.893	round45_shadow_prefilter
comb_dense	256	1	17	221	220	0	1	0	0.000000	439.957	round45_shadow_prefilter
comb_dense	256	1	25	205	205	0	0	0	0.000000	1061.492	round45_shadow_prefilter
comb_dense	256	1	33	189	189	0	0	0	0.000000	860.337	round45_shadow_prefilter
comb_dense	256	1	41	171	171	0	0	0	0.000000	287.271	round45_shadow_prefilter
comb_dense	256	1	49	157	157	0	0	0	0.000000	162.975	round45_shadow_prefilter
comb_dense	256	1	57	141	141	0	0	0	0.000000	126.930	round45_shadow_prefilter
comb_dense	256	1	65	125	125	0	0	0	0.000000	96.442	round45_shadow_prefilter
comb_dense	256	1	73	109	109	0	0	0	0.000000	55.955	round45_shadow_prefilter
comb_dense	256	1	81	93	93	0	0	0	0.000000	44.614	round45_shadow_prefilter
comb_dense	256	1	89	77	77	0	0	0	0.000000	31.735	round45_shadow_prefilter
comb_dense	256	1	97	61	61	0	0	0	0.000000	17.776	round45_shadow_prefilter
comb_dense	256	1	105	45	45	0	0	0	0.000000	6.448	round45_shadow_prefilter
comb_dense	256	1	113	29	28	0	1	0	0.000000	2.103	round45_shadow_prefilter
comb_dense	256	1	121	13	12	0	1	0	0.000000	0.130	round45_shadow_prefilter
