case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	256	1	1	253	253	0	0	0	0.000000	741.906	round45_shadow_prefilter
comb_dense	256	1	2	251	251	0	0	0	0.000000	510.287	round45_shadow_prefilter
comb_dense	256	1	3	249	249	0	0	0	0.000000	531.482	round45_shadow_prefilter
comb_dense	256	1	4	247	247	0	0	0	0.000000	483.882	round45_shadow_prefilter
comb_dense	256	1	5	245	245	0	0	0	0.000000	510.305	round45_shadow_prefilter
comb_dense	256	1	6	243	243	0	0	0	0.000000	506.274	round45_shadow_prefilter
comb_dense	256	1	7	241	241	0	0	0	0.000000	474.602	round45_shadow_prefilter
comb_dense	256	1	8	239	239	0	0	0	0.000000	448.452	round45_shadow_prefilter
comb_dense	256	1	9	237	237	0	0	0	0.000000	510.127	round45_shadow_prefilter
comb_dense	256	1	17	221	220	0	1	0	0.000000	402.301	round45_shadow_prefilter
comb_dense	256	1	25	205	205	0	0	0	0.000000	303.383	round45_shadow_prefilter
comb_dense	256	1	33	189	189	0	0	0	0.000000	253.734	round45_shadow_prefilter
comb_dense	256	1	41	171	171	0	0	0	0.000000	206.544	round45_shadow_prefilter
comb_dense	256	1	49	157	157	0	0	0	0.000000	157.595	round45_shadow_prefilter
comb_dense	256	1	57	141	141	0	0	0	0.000000	115.306	round45_shadow_prefilter
comb_dense	256	1	65	125	125	0	0	0	0.000000	87.076	round45_shadow_prefilter
comb_dense	256	1	73	109	109	0	0	0	0.000000	60.320	round45_shadow_prefilter
comb_dense	256	1	81	93	93	0	0	0	0.000000	37.799	round45_shadow_prefilter
comb_dense	256	1	89	77	77	0	0	0	0.000000	27.002	round45_shadow_prefilter
comb_dense	256	1	97	61	61	0	0	0	0.000000	15.408	round45_shadow_prefilter
comb_dense	256	1	105	45	45	0	0	0	0.000000	6.542	round45_shadow_prefilter
comb_dense	256	1	113	29	28	0	1	0	0.000000	1.664	round45_shadow_prefilter
comb_dense	256	1	121	13	12	0	1	0	0.000000	0.179	round45_shadow_prefilter
