case_mode	case_n	case_seed	call_idx	currentV	currentE	currentQ	q_over_e	attachCuts	boundarySize	oldBoundarySize	boundaryZero	ccOne	dense_guard	boundary_guard	E_guard	Q_guard	badQueriesShape	fallback_total_ms	fallback_local_id_adj_ms	fallback_step3_ms	fallback_keep_order_ms	fallback_applyPatch_ms	shadow_prefilter_hit	shadow_attempted	shadow_match	shadow_mismatch_reason	validator_shadow_fail	spqr_total_ms	spqr_delta_ms	spqr_raw_total_ms	spqr_raw_choose_parallel_pair_ms	spqr_raw_recursive_total_ms	spqr_raw_recursive_series_split_ms	ds_total_ms	ds_build_subsetinfo_ms	ds_candidate_loop_ms	ds_comp_vector_init_ms	ds_seed_scan_ms	ds_bfs_queue_pushpop_ms	ds_bfs_neighbor_iter_ms	ds_comp_label_write_ms	ds_partition_loop_ms	ds_connectivity_check_ms	ds_normvec_ms	ds_other_ms	ds_candidate_count	ds_bfs_run_count	ds_seed_scan_hits	ds_queue_pushpop_hits	ds_neighbor_iter_hits	ds_label_write_hits	ds_partition_hits	ds_connectivity_check_hits	ds_accounted_ratio	ds_same_side_reject_count	ds_accepted_candidate_count	ds_other_reject_count	ds_st_separator_candidates	ds_st_separator_ratio
comb_dense	256	1	1	254	18174	6473	0.356168	0	0	0	1	1	1	0	1	1	Q6473_A0_B0_OB0_BZ1_CC1	1.437	0.000	0.000	0.171	0.000	1	1	0	debug_off	0	1559.030	1557.593	1255.023	0.000	1255.023	1255.023	1255.023	1.824	741.906	0.239	3.855	8.633	493.317	4.295	0.000	0.000	0.000	0.954	253	253	64515	128524	9258479	64262	0	0	0.999240	253	0	0	0	0.000000
comb_dense	256	1	2	252	17944	6409	0.357167	0	0	0	1	1	1	0	1	1	Q6409_A0_B0_OB0_BZ1_CC1	1.591	0.000	0.000	0.207	0.000	1	1	0	debug_off	0	1327.833	1326.242	993.941	0.000	993.941	993.941	993.941	2.048	510.287	0.151	3.302	6.296	468.508	3.173	0.000	0.000	0.000	0.177	251	251	63503	126504	9054500	63252	0	0	0.999822	251	0	0	0	0.000000
comb_dense	256	1	3	250	17706	6344	0.358297	0	0	0	1	1	1	0	1	1	Q6344_A0_B0_OB0_BZ1_CC1	1.852	0.000	0.000	0.191	0.000	1	1	0	debug_off	0	1350.523	1348.672	1009.385	0.000	1009.385	1009.385	1009.385	1.432	531.482	0.193	3.603	6.299	463.379	2.819	0.000	0.000	0.000	0.178	249	249	62499	124500	8867490	62250	0	0	0.999824	249	0	0	0	0.000000
comb_dense	256	1	4	248	17450	6271	0.359370	0	0	0	1	1	1	0	1	1	Q6271_A0_B0_OB0_BZ1_CC1	1.769	0.000	0.000	0.251	0.000	1	1	0	debug_off	0	1242.175	1240.406	933.221	0.000	933.221	933.221	933.221	1.382	483.882	0.443	2.824	5.777	435.667	3.072	0.000	0.000	0.000	0.174	247	247	61503	122512	8674949	61256	0	0	0.999813	247	0	0	0	0.000000
comb_dense	256	1	5	246	17214	6203	0.360346	0	0	0	1	1	1	0	1	1	Q6203_A0_B0_OB0_BZ1_CC1	2.271	0.000	0.000	0.233	0.000	1	1	0	debug_off	0	1260.125	1257.854	969.092	0.000	969.092	969.092	969.092	1.511	510.305	0.238	3.090	6.614	444.192	2.969	0.000	0.000	0.000	0.173	245	245	60515	120540	8481935	60270	0	0	0.999822	245	0	0	0	0.000000
comb_dense	256	1	6	244	16965	6131	0.361391	0	0	0	1	1	1	0	1	1	Q6131_A0_B0_OB0_BZ1_CC1	2.040	0.000	0.000	0.246	0.000	1	1	0	debug_off	0	1258.886	1256.846	969.136	0.000	969.136	969.136	969.136	1.597	506.274	0.158	2.609	6.294	447.529	4.491	0.000	0.000	0.000	0.184	243	243	59535	118584	8296253	59292	0	0	0.999810	243	0	0	0	0.000000
comb_dense	256	1	7	242	16718	6055	0.362184	0	0	0	1	1	1	0	1	1	Q6055_A0_B0_OB0_BZ1_CC1	1.676	0.000	0.000	0.190	0.000	1	1	0	debug_off	0	1186.632	1184.955	902.520	0.000	902.520	902.520	902.520	1.622	474.602	0.135	2.911	5.460	415.077	2.527	0.000	0.000	0.000	0.187	241	241	58563	116644	8105746	58322	0	0	0.999793	241	0	0	0	0.000000
comb_dense	256	1	8	240	16476	5985	0.363256	0	0	0	1	1	1	0	1	1	Q5985_A0_B0_OB0_BZ1_CC1	1.200	0.000	0.000	0.144	0.000	1	1	0	debug_off	0	1131.323	1130.123	856.650	0.000	856.650	856.650	856.650	1.095	448.452	0.131	2.515	5.887	395.998	2.399	0.000	0.000	0.000	0.173	239	239	57599	114720	7923486	57360	0	0	0.999798	239	0	0	0	0.000000
comb_dense	256	1	9	238	16239	5908	0.363816	0	0	0	1	1	1	0	1	1	Q5908_A0_B0_OB0_BZ1_CC1	1.838	0.000	0.000	0.189	0.000	1	1	0	debug_off	0	1214.365	1212.527	938.646	0.000	938.646	938.646	938.646	1.626	510.127	0.161	2.806	6.657	414.342	2.450	0.000	0.000	0.000	0.476	237	237	56643	112812	7739377	56406	0	0	0.999493	237	0	0	0	0.000000
comb_dense	256	1	17	222	14489	5386	0.371730	0	0	0	1	1	1	0	1	1	Q5386_A0_B0_OB0_BZ1_CC1	1.504	0.000	0.000	0.145	0.000	1	1	0	debug_off	0	1087.121	1085.616	771.659	0.000	771.659	771.659	771.659	1.231	402.301	0.220	2.323	4.783	351.702	8.839	0.000	0.000	0.000	0.262	221	222	48843	97244	6381666	48622	1	0	0.999661	220	0	1	0	0.000000
comb_dense	256	1	25	206	12814	4855	0.378882	0	0	0	1	1	1	0	1	1	Q4855_A0_B0_OB0_BZ1_CC1	1.169	0.000	0.000	0.149	0.000	1	1	0	debug_off	0	857.037	855.868	573.497	0.000	573.497	573.497	573.497	1.252	303.383	0.158	2.079	4.253	260.220	1.968	0.000	0.000	0.000	0.185	205	205	42435	84460	5285237	42230	0	0	0.999677	205	0	0	0	0.000000
comb_dense	256	1	33	190	11161	4297	0.385001	0	0	0	1	1	1	0	1	1	Q4297_A0_B0_OB0_BZ1_CC1	1.290	0.000	0.000	0.143	0.000	1	1	0	debug_off	0	752.361	751.072	491.433	0.000	491.433	491.433	491.433	1.777	253.734	0.123	1.831	4.369	227.616	1.845	0.000	0.000	0.000	0.138	189	189	36099	71820	4242797	35910	0	0	0.999720	189	0	0	0	0.000000
comb_dense	256	1	41	172	9583	3679	0.383909	2	2	2	0	1	1	0	1	1	Q3679_A2_B2_OB2_BZ0_CC1	1.199	0.000	0.000	0.123	0.000	1	1	0	debug_off	0	613.625	612.426	388.077	0.000	388.077	388.077	388.077	1.529	206.544	0.086	1.405	3.803	173.261	1.347	0.000	0.000	0.000	0.102	171	171	29583	58824	3297356	29412	0	0	0.999737	171	0	0	0	0.000000
comb_dense	256	1	49	158	8271	3284	0.397050	0	0	0	1	1	1	0	1	1	Q3284_A0_B0_OB0_BZ1_CC1	1.012	0.000	0.000	0.308	0.000	1	1	0	debug_off	0	498.815	497.803	301.112	0.000	301.112	301.112	301.112	1.126	157.595	0.083	1.383	2.604	136.724	1.470	0.000	0.000	0.000	0.128	157	157	24963	49612	2614302	24806	0	0	0.999575	157	0	0	0	0.000000
