stage	mode	n	seed	shuffle_labels	shuffle_queries	timeout_s
hard_scaling	comb_dense	4096	1	1	1	12.0
hard_scaling	comb_dense	4096	2	1	1	12.0
hard_scaling	comb_dense	4096	3	1	1	12.0
hard_scaling	comb_dense	8192	1	1	1	12.0
hard_scaling	comb_dense	8192	2	1	1	12.0
hard_scaling	comb_dense	8192	3	1	1	12.0
hard_scaling	comb_dense	16384	1	1	1	12.0
hard_scaling	comb_dense	16384	2	1	1	12.0
hard_scaling	comb_dense	16384	3	1	1	12.0
hard_scaling	comb_dense	32768	1	1	1	12.0
hard_scaling	comb_dense	32768	2	1	1	12.0
hard_scaling	comb_dense	32768	3	1	1	12.0
hard_scaling	comb_rect_dense	4096	1	1	1	12.0
hard_scaling	comb_rect_dense	4096	2	1	1	12.0
hard_scaling	comb_rect_dense	4096	3	1	1	12.0
hard_scaling	comb_rect_dense	8192	1	1	1	12.0
hard_scaling	comb_rect_dense	8192	2	1	1	12.0
hard_scaling	comb_rect_dense	8192	3	1	1	12.0
hard_scaling	comb_rect_dense	16384	1	1	1	12.0
hard_scaling	comb_rect_dense	16384	2	1	1	12.0
hard_scaling	comb_rect_dense	16384	3	1	1	12.0
hard_scaling	comb_rect_dense	32768	1	1	1	12.0
hard_scaling	comb_rect_dense	32768	2	1	1	12.0
hard_scaling	comb_rect_dense	32768	3	1	1	12.0
hard_scaling	multi_comb_rect	4096	1	1	1	12.0
hard_scaling	multi_comb_rect	4096	2	1	1	12.0
hard_scaling	multi_comb_rect	4096	3	1	1	12.0
hard_scaling	multi_comb_rect	8192	1	1	1	12.0
hard_scaling	multi_comb_rect	8192	2	1	1	12.0
hard_scaling	multi_comb_rect	8192	3	1	1	12.0
hard_scaling	multi_comb_rect	16384	1	1	1	12.0
hard_scaling	multi_comb_rect	16384	2	1	1	12.0
hard_scaling	multi_comb_rect	16384	3	1	1	12.0
hard_scaling	multi_comb_rect	32768	1	1	1	12.0
hard_scaling	multi_comb_rect	32768	2	1	1	12.0
hard_scaling	multi_comb_rect	32768	3	1	1	12.0
hard_scaling	multi_comb_cap	4096	1	1	1	12.0
hard_scaling	multi_comb_cap	4096	2	1	1	12.0
hard_scaling	multi_comb_cap	4096	3	1	1	12.0
hard_scaling	multi_comb_cap	8192	1	1	1	12.0
hard_scaling	multi_comb_cap	8192	2	1	1	12.0
hard_scaling	multi_comb_cap	8192	3	1	1	12.0
hard_scaling	multi_comb_cap	16384	1	1	1	12.0
hard_scaling	multi_comb_cap	16384	2	1	1	12.0
hard_scaling	multi_comb_cap	16384	3	1	1	12.0
hard_scaling	multi_comb_cap	32768	1	1	1	12.0
hard_scaling	multi_comb_cap	32768	2	1	1	12.0
hard_scaling	multi_comb_cap	32768	3	1	1	12.0
hard_scaling	caterpillar_mixed	4096	1	1	1	12.0
hard_scaling	caterpillar_mixed	4096	2	1	1	12.0
hard_scaling	caterpillar_mixed	4096	3	1	1	12.0
hard_scaling	caterpillar_mixed	8192	1	1	1	12.0
hard_scaling	caterpillar_mixed	8192	2	1	1	12.0
hard_scaling	caterpillar_mixed	8192	3	1	1	12.0
hard_scaling	caterpillar_mixed	16384	1	1	1	12.0
hard_scaling	caterpillar_mixed	16384	2	1	1	12.0
hard_scaling	caterpillar_mixed	16384	3	1	1	12.0
hard_scaling	caterpillar_mixed	32768	1	1	1	12.0
hard_scaling	caterpillar_mixed	32768	2	1	1	12.0
hard_scaling	caterpillar_mixed	32768	3	1	1	12.0
hard_scaling	caterpillar_rect_dense	4096	1	1	1	12.0
hard_scaling	caterpillar_rect_dense	4096	2	1	1	12.0
hard_scaling	caterpillar_rect_dense	4096	3	1	1	12.0
hard_scaling	caterpillar_rect_dense	8192	1	1	1	12.0
hard_scaling	caterpillar_rect_dense	8192	2	1	1	12.0
hard_scaling	caterpillar_rect_dense	8192	3	1	1	12.0
hard_scaling	caterpillar_rect_dense	16384	1	1	1	12.0
hard_scaling	caterpillar_rect_dense	16384	2	1	1	12.0
hard_scaling	caterpillar_rect_dense	16384	3	1	1	12.0
hard_scaling	caterpillar_rect_dense	32768	1	1	1	12.0
hard_scaling	caterpillar_rect_dense	32768	2	1	1	12.0
hard_scaling	caterpillar_rect_dense	32768	3	1	1	12.0
max_dense_headroom	comb_dense	50000	1	1	1	6.0
max_dense_headroom	comb_dense	50000	2	1	1	6.0
max_dense_headroom	comb_dense	99999	1	1	1	6.0
max_dense_headroom	comb_dense	99999	2	1	1	6.0
max_dense_headroom	comb_rect_dense	50000	1	1	1	6.0
max_dense_headroom	comb_rect_dense	50000	2	1	1	6.0
max_dense_headroom	comb_rect_dense	99999	1	1	1	6.0
max_dense_headroom	comb_rect_dense	99999	2	1	1	6.0
max_dense_headroom	multi_comb_rect	50000	1	1	1	6.0
max_dense_headroom	multi_comb_rect	50000	2	1	1	6.0
max_dense_headroom	multi_comb_rect	99999	1	1	1	6.0
max_dense_headroom	multi_comb_rect	99999	2	1	1	6.0
max_dense_headroom	multi_comb_cap	50000	1	1	1	6.0
max_dense_headroom	multi_comb_cap	50000	2	1	1	6.0
max_dense_headroom	multi_comb_cap	99999	1	1	1	6.0
max_dense_headroom	multi_comb_cap	99999	2	1	1	6.0
max_dense_headroom	caterpillar_rect_dense	50000	1	1	1	6.0
max_dense_headroom	caterpillar_rect_dense	50000	2	1	1	6.0
max_dense_headroom	caterpillar_rect_dense	99999	1	1	1	6.0
max_dense_headroom	caterpillar_rect_dense	99999	2	1	1	6.0
