mode	n	seed	shuffle_labels	shuffle_queries
comb_dense	4096	1	1	1
comb_dense	4096	2	1	1
comb_dense	4096	3	1	1
comb_dense	8192	1	1	1
comb_dense	8192	2	1	1
comb_dense	8192	3	1	1
comb_rect_dense	4096	1	1	1
comb_rect_dense	4096	2	1	1
comb_rect_dense	4096	3	1	1
comb_rect_dense	8192	1	1	1
comb_rect_dense	8192	2	1	1
comb_rect_dense	8192	3	1	1
caterpillar_rect_dense	4096	1	1	1
caterpillar_rect_dense	4096	2	1	1
caterpillar_rect_dense	4096	3	1	1
caterpillar_rect_dense	8192	1	1	1
caterpillar_rect_dense	8192	2	1	1
caterpillar_rect_dense	8192	3	1	1
comb_plus_unary	32768	1	1	1
comb_plus_unary	32768	2	1	1
comb_plus_unary	32768	3	1	1
comb_core	32768	1	1	1
comb_core	32768	2	1	1
comb_core	32768	3	1	1
multi_comb_core	16384	1	1	1
multi_comb_core	16384	2	1	1
multi_comb_core	16384	3	1	1
multi_comb_core	32768	1	1	1
multi_comb_core	32768	2	1	1
multi_comb_core	32768	3	1	1
multi_comb_rect	2048	1	1	1
multi_comb_cap	2048	1	1	1
chain_unary	2048	1	1	1
balanced_dense	512	1	1	1
random_recursive_mixed	512	1	1	1
