case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	1024	1	1	1021	1021	0	0	0	0.000000	11440.371	round45_shadow_prefilter
comb_dense	1024	1	2	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	1024	1	3	1019	1019	0	0	0	0.000000	11788.276	round45_shadow_prefilter
comb_dense	1024	1	4	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	1024	1	5	1017	1017	0	0	0	0.000000	11639.419	round45_shadow_prefilter
comb_dense	1024	1	6	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	1024	1	7	1015	1015	0	0	0	0.000000	11485.515	round45_shadow_prefilter
comb_dense	1024	1	8	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	1024	1	9	1013	1013	0	0	0	0.000000	11654.554	round45_shadow_prefilter
comb_dense	1024	1	17	1005	1005	0	0	0	0.000000	11217.953	round45_shadow_prefilter
comb_dense	1024	1	25	997	997	0	0	0	0.000000	10981.909	round45_shadow_prefilter
comb_dense	1024	1	33	988	988	0	0	0	0.000000	10556.113	round45_shadow_prefilter
comb_dense	1024	1	41	981	981	0	0	0	0.000000	10248.678	round45_shadow_prefilter
comb_dense	1024	1	49	971	971	0	0	0	0.000000	10333.915	round45_shadow_prefilter
comb_dense	1024	1	57	964	964	0	0	0	0.000000	9974.708	round45_shadow_prefilter
