case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	256	1	1	253	253	0	0	0	0.000000	737.645	round45_shadow_prefilter
comb_dense	256	1	2	251	251	0	0	0	0.000000	684.111	round45_shadow_prefilter
comb_dense	256	1	3	249	249	0	0	0	0.000000	743.808	round45_shadow_prefilter
comb_dense	256	1	4	247	247	0	0	0	0.000000	783.905	round45_shadow_prefilter
comb_dense	256	1	5	245	245	0	0	0	0.000000	787.678	round45_shadow_prefilter
comb_dense	256	1	6	243	243	0	0	0	0.000000	711.304	round45_shadow_prefilter
comb_dense	256	1	7	241	241	0	0	0	0.000000	661.622	round45_shadow_prefilter
comb_dense	256	1	8	239	239	0	0	0	0.000000	713.140	round45_shadow_prefilter
comb_dense	256	1	9	237	237	0	0	0	0.000000	1201.240	round45_shadow_prefilter
comb_dense	256	1	10	235	235	0	0	0	0.000000	804.881	round45_shadow_prefilter
comb_dense	256	1	11	233	232	0	1	0	0.000000	565.460	round45_shadow_prefilter
comb_dense	256	1	12	231	231	0	0	0	0.000000	585.347	round45_shadow_prefilter
comb_dense	256	1	13	228	228	0	0	0	0.000000	547.267	round45_shadow_prefilter
comb_dense	256	1	14	227	227	0	0	0	0.000000	543.851	round45_shadow_prefilter
comb_dense	256	1	15	225	225	0	0	0	0.000000	526.486	round45_shadow_prefilter
comb_dense	256	1	16	223	223	0	0	0	0.000000	488.905	round45_shadow_prefilter
comb_dense	256	1	17	221	220	0	1	0	0.000000	493.450	round45_shadow_prefilter
comb_dense	256	1	18	219	219	0	0	0	0.000000	459.096	round45_shadow_prefilter
comb_dense	256	1	19	216	216	0	0	0	0.000000	508.400	round45_shadow_prefilter
comb_dense	256	1	20	214	214	0	0	0	0.000000	635.762	round45_shadow_prefilter
comb_dense	256	1	21	213	213	0	0	0	0.000000	698.854	round45_shadow_prefilter
comb_dense	256	1	22	210	210	0	0	0	0.000000	516.588	round45_shadow_prefilter
comb_dense	256	1	23	208	208	0	0	0	0.000000	474.984	round45_shadow_prefilter
comb_dense	256	1	24	206	206	0	0	0	0.000000	434.581	round45_shadow_prefilter
comb_dense	256	1	25	205	205	0	0	0	0.000000	435.742	round45_shadow_prefilter
comb_dense	256	1	26	203	203	0	0	0	0.000000	424.973	round45_shadow_prefilter
comb_dense	256	1	27	201	201	0	0	0	0.000000	406.244	round45_shadow_prefilter
comb_dense	256	1	28	199	199	0	0	0	0.000000	408.314	round45_shadow_prefilter
comb_dense	256	1	29	197	196	0	1	0	0.000000	361.901	round45_shadow_prefilter
comb_dense	256	1	30	195	195	0	0	0	0.000000	393.584	round45_shadow_prefilter
comb_dense	256	1	31	193	193	0	0	0	0.000000	515.325	round45_shadow_prefilter
comb_dense	256	1	32	191	191	0	0	0	0.000000	985.003	round45_shadow_prefilter
comb_dense	256	1	33	189	189	0	0	0	0.000000	522.166	round45_shadow_prefilter
comb_dense	256	1	34	186	186	0	0	0	0.000000	604.250	round45_shadow_prefilter
