mode,n,seed,shuffle_labels,shuffle_queries,solver_rc,timed_out,val_ok,sec,rss_kb,case_dir
comb_core,1,1,0,0,0,0,1,0.014002,1440,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_core/n1/seed1_L0_Q0
comb_core,1,1,0,1,0,0,1,0.015086,1440,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_core/n1/seed1_L0_Q1
comb_core,1,1,1,0,0,0,1,0.010794,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_core/n1/seed1_L1_Q0
comb_core,1,1,1,1,0,0,1,0.011087,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_core/n1/seed1_L1_Q1
comb_plus_unary,1,1,0,0,0,0,1,0.015117,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_plus_unary/n1/seed1_L0_Q0
comb_plus_unary,1,1,0,1,0,0,1,0.010986,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_plus_unary/n1/seed1_L0_Q1
comb_plus_unary,1,1,1,0,0,0,1,0.011890,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_plus_unary/n1/seed1_L1_Q0
comb_plus_unary,1,1,1,1,0,0,1,0.015077,1440,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_plus_unary/n1/seed1_L1_Q1
comb_dense,1,1,0,0,0,0,1,0.014721,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_dense/n1/seed1_L0_Q0
comb_dense,1,1,0,1,0,0,1,0.010619,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_dense/n1/seed1_L0_Q1
comb_dense,1,1,1,0,0,0,1,0.014480,1440,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_dense/n1/seed1_L1_Q0
comb_dense,1,1,1,1,0,0,1,0.013397,1440,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_dense/n1/seed1_L1_Q1
comb_rect_dense,1,1,0,0,0,0,1,0.012050,1440,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_rect_dense/n1/seed1_L0_Q0
comb_rect_dense,1,1,0,1,0,0,1,0.015112,1424,/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/hunt_ac8_probe/runs/comb_rect_dense/n1/seed1_L0_Q1
