category	metric	value
status	fresh_current_pass_completed	false
status	truth_gate_passed	false
status	gate_found	false
status	reason	source_baseline_mismatch
source_inspection	same_side_probe_present	False
source_inspection	candidate_rows_sink_present	False
source_inspection	prefilter_rows_sink_present	False
source_inspection	round43_macro_present	False
source_inspection	round44_macro_present	False
source_inspection	dense_shadow_case_mode_env_present	True
round43_artifact	comb_dense_same_side_rows	13201
round43_artifact	comb_dense_candidate_rows	13210
round43_artifact	comb_dense_dominant_hotspot	bfs_neighbor_iter
round43_artifact	comb_rect_dense_same_side_rows	7642
round43_artifact	comb_rect_dense_candidate_rows	7646
round43_artifact	comb_rect_dense_dominant_hotspot	bfs_neighbor_iter
round43_artifact	caterpillar_rect_dense_same_side_rows	7452
round43_artifact	caterpillar_rect_dense_candidate_rows	7455
round43_artifact	caterpillar_rect_dense_dominant_hotspot	bfs_neighbor_iter
