section	phase	mode	n	metric	value
candidate_hotspot	round43_artifact	comb_dense	8192	candidate_rows	13210
candidate_hotspot	round43_artifact	comb_dense	8192	same_side_rows	13201
candidate_hotspot	round43_artifact	comb_dense	8192	accepted_rows	0
candidate_hotspot	round43_artifact	comb_dense	8192	dominant_hotspot	bfs_neighbor_iter
candidate_hotspot	round43_artifact	comb_rect_dense	8192	candidate_rows	7646
candidate_hotspot	round43_artifact	comb_rect_dense	8192	same_side_rows	7642
candidate_hotspot	round43_artifact	comb_rect_dense	8192	accepted_rows	0
candidate_hotspot	round43_artifact	comb_rect_dense	8192	dominant_hotspot	bfs_neighbor_iter
candidate_hotspot	round43_artifact	caterpillar_rect_dense	8192	candidate_rows	7455
candidate_hotspot	round43_artifact	caterpillar_rect_dense	8192	same_side_rows	7452
candidate_hotspot	round43_artifact	caterpillar_rect_dense	8192	accepted_rows	0
candidate_hotspot	round43_artifact	caterpillar_rect_dense	8192	dominant_hotspot	bfs_neighbor_iter
source_inspection	round44_current_zip_source	solve.cpp	- 	same_side_probe_present	False
source_inspection	round44_current_zip_source	solve.cpp	- 	candidate_rows_sink_present	False
source_inspection	round44_current_zip_source	solve.cpp	- 	prefilter_rows_sink_present	False
source_inspection	round44_current_zip_source	solve.cpp	- 	round43_macro_present	False
source_inspection	round44_current_zip_source	solve.cpp	- 	round44_macro_present	False
source_inspection	round44_current_zip_source	solve.cpp	- 	dense_shadow_case_mode_env_present	True
