construction_key	trigger_condition	input_witness	output_witness	measure_decrease	preserves_or_refutes_counterexample	required_verified_input	missing_sublemma	failure_escape	current_status
direct_preservation_not_needed	payload refinement preserves counterexample status	recognized source witness	lifted target witness	no decrease needed	preserves counterexample status	family_chain_counterexample_status_preservation_90.tsv	status preservation theorem	status_preservation_open	proof_sketch_ready
canonical_compression_witness	payload mismatch is only canonical redundancy	recognized source witness	canonical compressed witness	canonical_witness_rank decreases	preserves or refines counterexample	canonicalization_commutes_with_lift	canonical compression proof	canonicalization_blocker	proof_sketch_ready
layer_projection_reduced_witness	layer projection refines but does not preserve exact status	recognized layer witness	layer-projected witness	family_chain_depth or canonical_witness_rank decreases	constructs smaller counterexample candidate	family_chain_source_target_payload_correspondence_90.tsv	layer projection reduction proof	payload_projection_blocker	proof_sketch_ready
support_coordinate_reduced_witness	failed preservation exposes redundant support coordinate	support>8 recognized witness	projected active-support witness	support_size or support_outside_8_distance decreases	preserves counterexample or refutes minimality	support_reduction_operations_90.tsv	delete/project operation preservation	support_reduction_operation_open	blocked_by_smaller_witness
family_chain_depth_reduced_witness	failed lift shows excessive family-chain depth	family-chain source witness	lower-depth family-chain witness	family_chain_depth decreases	preserves obstruction candidate	family_chain_lift_map_90.tsv	family-chain depth reduction proof	family_chain_lift_phase3_if_needed	proof_sketch_ready
frontier_tail_reduced_witness	failed correspondence routes to frontier/tail captured branch	recognized source witness	frontier/tail reduced witness	frontier_rank or tail_length decreases	preserves or routes to limited bridge	support_reduction_step_skeleton_90.tsv	frontier/tail operation preservation	prove_support_reduction_operation_sublemma	proof_sketch_ready
support8_reduced_witness	reduction reaches support<=8	reduced witness	support8 witness	support_outside_8_distance becomes 0	handled by limited bridge	limited_bridge_theorem_status_90.tsv	none after valid reduction	not_escape	proved_under_current_scope_conditional
irreducible_failure_escape	no smaller witness operation applies	irreducible recognized support>8 witness	named escape	no decrease	proof not closed	higher_support_escape_interface_90.tsv	higher_support_bound	higher_support_escape	classified_escape_open
smaller_measure_decrease_given_output	a candidate output witness with smaller lexicographic tuple is constructed	input tuple	output tuple	lexicographic tuple strictly decreases	refutes minimal counterexample assumption	support_bound_measure_90.tsv	construct actual output witness	operation_construction_blocker	proved_under_current_scope_conditional
final_status	non-preservation branch requires operation-specific construction	recognized source witness	reduced witness or escape	conditional decrease only	smaller-witness path remains open	support_reduction_operations_90.tsv	operation-specific preservation and construction	family_chain_lift_phase3_or_operation_sublemma	smaller_witness_construction_proof_ready_but_operation_blocked
