obligation_key	required_for_selected_theorem	current_status	evidence_path	proof_gap	closed_by	remaining_caveat	blocks_selected_theorem
minimal_counterexample_existence	1	closed_by_minimal_reduction	branch_4/90/runtime/minimal_counterexample_reduction_sublemma_proofs_90.tsv	none for selected finite/support8 scope	minimal_counterexample_reduction	Full-general existence requires support-bound interface.	0
normalization_preserves_counterexample	1	closed_by_minimal_reduction	branch_4/90/runtime/minimal_counterexample_witness_normal_form_90.tsv	no blocking gap for selected normal-form routing	minimal_counterexample_reduction	Full mathematical canonicalization remains broader obligation.	0
support_reduction_or_named_escape	1	out_of_scope_named_obligation	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	support-bound proof not supplied	named_escape_interface	Support-bound theorem remains needed for full general theorem.	0
shell_tail_reduction_or_named_escape	1	closed_by_minimal_reduction	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	none for checked plus reviewed boundary scope	minimal_counterexample_reduction	Arbitrary later shell extension remains separate.	0
checked_tail_pattern_capture	1	closed_by_tail_bridge	branch_4/90/runtime/tail_monotonicity_sublemma_proofs_90.tsv	none inside checked range	tail_bridge	Full tail monotonicity beyond checked range not proved.	0
tail_obstruction_chain_capture	1	closed_current_verified	branch_4/90/support8_tail_obstruction_chain_notes_90.md	none inside current support8 package	support8_tail_obstruction_chain	The result is bounded to current support8 tail package.	0
shell16_boundary_review_consumption	1	closed_by_shell16_reviewed_fact	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	none for first reviewed boundary	shell16_boundary_review	No full shell16 theorem promotion.	0
finite_package_contradiction	1	closed_current_verified	branch_4/90/runtime/current_support8_closure_certificate_90.tsv	none in finite package	support8_authoritative_completion_lock	Only applies to captured current package witnesses.	0
local_exact_survivor_nonblocking_justification	1	closed_by_shell16_reviewed_fact	branch_4/90/runtime/shell16_local_exact_survivor_analysis_90.tsv	none for theorem-preserving escape	shell16_local_exact_nonblocking_lemma	Local exact survivors exist; they are nonblocking only for theorem-preserving escape.	0
escape_obligations_named_and_disjoint	1	closed_by_minimal_reduction	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	none for selected theorem taxonomy	minimal_counterexample_escape_interface	Named obligations remain for full general theorem.	0
support_bound_obligation_remains_outside_selected_scope	1	out_of_scope_named_obligation	branch_4/90/runtime/general_gap_bridge_obligation_inventory_90.tsv	support-bound theorem missing	named_out_of_scope_obligation	Blocks full general theorem, not selected limited theorem.	0
full_tail_monotonicity_remains_outside_selected_scope	1	out_of_scope_named_obligation	branch_4/90/runtime/tail_monotonicity_bridge_obligation_inventory_90.tsv	full absorption step missing	named_out_of_scope_obligation	Blocks arbitrary extension-tail theorem, not selected limited theorem.	0
BOJ_constructivity_remains_outside_selected_scope	1	out_of_scope_named_obligation	branch_4/90/runtime/general_gap_bridge_obligation_inventory_90.tsv	constructive solver bridge missing	named_out_of_scope_obligation	Not required for selected math bridge theorem.	0
