canonical_component	source_canonical_rule	target_canonical_rule	lift_rule	commutation_status	refinement_status	proof_status	missing_sublemma	failure_effect
source_canonical_key	source canonical motif key identifies source payload	not_applicable	source key copied into lift	proof_sketch_ready	canonical_quotient_refinement	proof_sketch_ready	source_canonical_soundness	canonical_source_blocker
target_canonical_row	not_applicable	target family-chain row canonicalization	canonicalize target after projection	proof_sketch_ready	canonical_quotient_refinement	proof_sketch_ready	target_canonical_soundness	canonical_target_blocker
canonical_lift_row	source canonical motif then lift	lift then target canonicalization	canonical lifted family row	proof_sketch_ready	canonical_quotient_refinement	proof_sketch_ready	canonicalization_commutes_with_lift	canonical_lift_blocker
pair52_canonical_pair	source pair canonical key	pair52 canonical row	pair52 projection then canonical row	proof_sketch_ready	layerwise_payload_refinement	proof_ready_skeleton	pair_canonical_projection_soundness	pair_canonical_blocker
triple53_canonical_pair	source triple canonical key	triple53 canonical row	triple53 projection then canonical row	proof_sketch_ready	layerwise_payload_refinement	proof_ready_skeleton	triple_canonical_projection_soundness	triple_canonical_blocker
quad55_canonical_pair	source quad canonical key	quad55 canonical row	quad55 projection then canonical row	proof_sketch_ready	layerwise_payload_refinement	proof_ready_skeleton	quad_canonical_projection_soundness	quad_canonical_blocker
quint57_canonical_pair	source quint canonical key	quint57 canonical row	quint57 projection then canonical row	proof_sketch_ready	layerwise_payload_refinement	proof_ready_skeleton	quint_canonical_projection_soundness	quint_canonical_blocker
sext57_canonical_pair	source sext canonical key	sext57 canonical row	sext57 projection then canonical row	proof_sketch_ready	layerwise_payload_refinement	proof_ready_skeleton	sext_canonical_projection_soundness	sext_canonical_blocker
sept57_canonical_pair	source sept canonical key	sept57 canonical row	sept57 projection then canonical row	proof_sketch_ready	layerwise_payload_refinement	proof_ready_skeleton	sept_canonical_projection_soundness	sept_canonical_blocker
high57_canonical_pair	source high-family canonical key	high57 canonical row	high57 projection then canonical row	proof_sketch_ready	layerwise_payload_refinement	proof_ready_skeleton	high_canonical_projection_soundness	high_canonical_blocker
canonical_mismatch_smaller_witness	source and target canonical rows mismatch	reduced row if construction exists	canonical mismatch can lower rank	not_proved	counterexample_reducing_refinement	blocked_by_smaller_witness	canonical_mismatch_smaller_witness_construction	smaller_witness_operation_blocker
canonical_mismatch_escape	source and target canonical rows mismatch	no reduced row currently constructed	route mismatch to named escape	classified_escape_open	no_refinement	proved_under_current_scope_as_escape	canonical_mismatch_escape_bound	higher_support_or_canonical_escape
final_status	canonical source/lift/target rules are declared	target canonical rows declared	canonical lift row declared	proof_sketch_ready	refinement proof-ready	proof_ready_skeleton_canonical_lift_open	canonical_lift_soundness_sublemmas	canonical_lift_open
