anatomy_key	definition	runtime_analogue	mathematical_role	reduction_relevance	family_chain_relevance	higher_support_relevance	current_status	caveat
support_set	The finite coordinate set used by the witness.	support_size field in support normal form	primary support parameter	Determines whether support<=8 theorem can apply.	May include family-chain coordinates.	Support size >8 triggers outside-support8 handling.	proof_ready_contract	Support set equality is mathematical, not just row equality.
active_support	Coordinates used by obstruction, shell/tail, or family-chain components.	canonical support row plus obstruction descriptors	identifies nondeletable coordinates	Only inactive coordinates are deletion candidates.	Active family coordinates may require lift.	If all extra coordinates are active and no lift applies, escape remains.	proof_ready_contract	Active/nonactive split still needs preservation lemma.
redundant_support	Support coordinates not used by the normalized obstruction.	no direct standalone runtime column	deletion candidate	If proved redundant, deletion reduces support.	Not directly family-chain.	Failure to find redundancy does not prove irreducibility globally.	needs_new_sublemma	Needs a formal redundancy criterion.
essential_coordinates	Coordinates whose deletion changes the counterexample witness.	normal-form dependency set	blocks trivial deletion	Reduction must preserve these or replace by smaller witness.	Family coordinates may be essential only after lift.	All extra essential coordinates can trigger higher-support escape.	proof_sketch_ready	Essentiality is currently contract-level.
family_chain_part	Component matching bounded family-chain obstruction language.	family_chain_support_absorption_90.tsv	lift/absorption candidate	Can absorb support growth only with family-chain support lift.	Uses lower-layer 7/7 fresh package.	If lift missing, remains named escape branch.	partial_absorption_needs_lift	7/7 freshness is not itself the lift.
frontier_shell_tail_part	Frontier, shell, and tail descriptors attached to the witness.	limited_bridge_theorem_input_ledger_90.tsv;tail bridge TSVs	route into limited theorem if support<=8	Reduction output must stay in selected shell/tail language.	May interact with family-chain component.	If outside support8 language, higher-support escape remains.	proof_ready_contract	No arbitrary shell/tail generalization is claimed.
canonical_motif_part	Canonical motif row used to compare witnesses.	canonical rowset equality and fingerprints	tie-breaker and equivalence language	Compression can reduce canonical rank if support size unchanged.	May identify family motif class.	If no compression applies, escape classification may remain.	proof_sketch_ready	Canonicalization soundness remains separate.
obstruction_part	The theorem-preserving obstruction or escape payload carried by the witness.	survivor and obstruction-chain audit rows	counterexample payload	Reduction must preserve or produce smaller obstruction witness.	Family obstruction may be bounded.	Irreducible obstruction routes to higher_support_escape.	proof_ready_contract	Preservation proof is missing for general support operations.
shrink_possible_condition	There is a redundant/equivalent/projectable coordinate or liftable family component.	support_reduction_operations_90.tsv	precondition for reduction branch	Enables smaller-support witness construction.	Family branch depends on lift.	Absent condition routes to irreducible escape.	proof_sketch_ready	Existence of such a condition is not proved for all witnesses.
shrink_impossible_condition	No declared reduction operation precondition is satisfied.	higher_support_escape_interface_90.tsv	irreducible branch trigger	Prevents false support8 sufficiency claim.	Family lift failure is separated before this trigger.	Defines higher_support_escape for current skeleton.	proved_under_current_scope_as_partition	Classification is not a closure theorem.
