metric	value
selected_attempt_scope	shell16_survivor_probe_attempt
result_classification	shell16_probe_completed_local_exact_survivors_present_no_theorem_preserving_survivors
authoritative_source	current_runtime_shell16_non_promoting_scan
constructor_name	scan_shell16_frontier_non_promoting_attempt_
cache_load_constructor_name	load_current_shell16_runtime_artifact_
current_source_fingerprint	2729415:14502595494155092201
raw_candidates	8
canonical_candidates	4
outside_bounded_candidates	4
local_exact_survivors	2
plus_one_survivors	0
theorem_preserving_survivors	0
unsupported_local_exact_candidates	0
unsupported_plus_one_candidates	0
candidate_row_count	4
candidate_universe_fingerprint	antecedent_plus_thirteen_frontier:num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);antecedent_plus_thirteen_frontier:num=7 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1);support8_antecedent16_frontier:num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);support8_antecedent16_frontier:num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)
candidate_universe_file_fingerprint	2844:13875790183346741801
local_exact_survivor_fingerprint	support8_antecedent16_frontier:num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,3->3);support8_antecedent16_frontier:num=8 antecedents=[(1,2->1) (2,3->1) (2,3->2) (2,3->4) (2,4->2) (2,4->4) (3,4->1) (3,4->5)] => (2,4->1)
plus_one_survivor_fingerprint	
theorem_preserving_survivor_fingerprint	
fallback_reachable	0
fallback_hit	0
stale_artifact_status	fresh
timeout_or_cost_status	within_cost_cap
theorem_promotion_allowed	0
survivor_zero_theorem_claim_allowed	0
runtime_fingerprint	981:4479772858934799504
first_failing_gate	none
next_action	shell16_result_promotion_review
caveat	Shell16 survivor probe completed with local-exact, plus-one, and theorem-preserving survivor classes separated; theorem promotion remains forbidden until promotion review.
