metric	value
lemma_name	family_chain_lift_or_higher_support_escape
skeleton_status	partial_lift_phase2_relation_ready_status_open
lift_map_status	refined_lift_map_defined_for_recognized_sources_preservation_open
phase2_status	partial_phase2_proved_escape_open
obstruction_preservation_status	partial_preservation_phase2_relation_ready_status_open
proved_under_current_scope	4
proof_sketch	5
blocked	1
next_blocker	family_chain_lift_phase3_if_needed
fingerprint	family_chain_lift_or_higher_support_escape|partial_lift_phase2_relation_ready_status_open|4|5|1|family_chain_lift_phase3_if_needed
