protocol_key	description	status	failure_gate	updates_tail_bridge	updates_minimal_counterexample
preconditions	compile_LOCAL_TEST_docs_artifacts_provenance_family_chain_and_support8_lock_must_remain_verified	ready	missing_or_regressed_precondition	no	no
pass1_behavior	shell16_specific_builder_scan_shell16_frontier_non_promoting_attempt_observed	completed	builder_missing_or_shell15_copy	no	no
pass2_pass3_behavior	validated_shell16_runtime_artifact_loader_observed	completed	cache_loader_missing_or_stale	no	no
expected_logs	log_builder_cache_fallback_counts_fingerprints_and_first_failing_gate	defined	log_missing	no	no
outcome_survivors_zero	actual_attempt_has_plus_one_and_theorem_preserving_survivors_zero_no_promotion	completed_no_promotion	any_audit_mismatch	yes	yes
outcome_survivors_nonzero	open_named_shell16_survivor_blocker	defined	survivor_blocker	yes	yes
outcome_timeout_too_expensive	open_cost_or_pruning_blocker	defined	timeout_or_cost_cap	no	yes
outcome_canonicalization_mismatch	open_canonicalization_blocker	defined	canonicalization_mismatch	no	yes
outcome_fallback_hit	open_provenance_blocker	defined	fallback_hit	no	yes
outcome_stale_artifact	open_stale_artifact_blocker	defined	stale_artifact	no	yes
rollback_protocol	leave_support8_family_chain_provenance_and_inventory_only_decisions_unchanged	defined	regression_detected	no	no
current_round_classification	shell16_probe_completed_local_exact_survivors_present_no_theorem_preserving_survivors	attempt_completed_reviewed	family_chain_lift_map_refinement	yes	yes
