map_component	source_witness_component	target_family_chain_component	construction_rule	required_precondition	preserves_obstruction_status	preserves_counterexample_status	support_effect	missing_sublemma	current_status
source_form_recognizer	support-growth family-chain branch	refined_lift_source_form	component-level recognition over support normal form and family-chain language	support_growth_partition family-chain branch	proof_sketch_only	proof_sketch_only	classifies source before lift	recognizer_soundness	recognizer_contract_ready_soundness_proof_sketch
source_form_classification	arbitrary support-growth witness	recognized_or_escape_class	classify into recognized, compressible, extension-needed, higher-support escape, or non-family-chain case	normal witness available	classified	classified	no support reduction by itself	arbitrary_witness_completeness	proof_ready_skeleton
pair52_projection	recognized pair component	pair_expansion_layer_52	project pair component into pair52 bounded region	recognized pair source field	yes_if_payload_preserved	yes_if_payload_preserved	targets fresh pair52 layer	pair_projection_payload_preservation	proof_ready_skeleton
triple53_projection	recognized triple component	triple_family_layer_53	route depth=3 component to triple53	recognized triple source field	yes_if_payload_preserved	yes_if_payload_preserved	targets fresh triple53 layer	triple_projection_payload_preservation	proof_ready_skeleton
quad55_projection	recognized quadruple component	quadruple_family_layer_55	route depth=4 component to quad55	recognized quadruple source field	yes_if_payload_preserved	yes_if_payload_preserved	targets fresh quad55 layer	quad_projection_payload_preservation	proof_ready_skeleton
quint57_projection	recognized quintuple component	quintuple_family_layer_57	route depth=5 component to quint57	recognized quintuple source field	yes_if_payload_preserved	yes_if_payload_preserved	targets fresh quint57 layer	quint_projection_payload_preservation	proof_ready_skeleton
sext57_projection	recognized sextuple component	sextuple_family_layer_57	route depth=6 component to sext57	recognized sextuple source field	yes_if_payload_preserved	yes_if_payload_preserved	targets fresh sext57 layer	sext_projection_payload_preservation	proof_ready_skeleton
sept57_projection	recognized septuple component	septuple_family_layer_57	route depth=7 component to sept57	recognized septuple source field	yes_if_payload_preserved	yes_if_payload_preserved	targets fresh sept57 layer	sept_projection_payload_preservation	proof_ready_skeleton
high57_projection	recognized high-family component	high_family_layer_57	route high-family component to high57 aggregate	recognized high-family source field	yes_if_payload_preserved	yes_if_payload_preserved	targets fresh high57 layer	high_projection_payload_preservation	proof_ready_skeleton
canonical_lift_row	recognized canonical motif	canonical family-chain row	canonicalize lifted family-chain object	runtime canonicalization matches math equivalence	proof_sketch_only	proof_sketch_only	no support increase	canonicalization_commutes_with_lift	proof_sketch_ready
obstruction_payload_lift	recognized obstruction payload	family-chain theorem object	attach obstruction payload to projected target row	payload compatible with bounded family-chain theorem	unknown	unknown	closed if preservation is proved	obstruction_status_preserved	blocked_by_obstruction_preservation
bounded_theorem_hook	lifted target object	bounded family-chain theorem closure	apply current family-chain theorem	successful recognized lift into bounded target	yes_if_payload_preserved	yes_if_payload_preserved	absorbs family-chain branch	obstruction_payload_preservation	proof_ready_skeleton
lift_failure_escape	unrecognized or preservation-failed source	named escape interface	route failure to higher-support or named non-family-chain class	recognizer failure or preservation failure	not closed;classified	not closed;classified	no support reduction	higher_support_bound_for_closure	proved_under_current_scope_as_escape
