obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_equivalence	dependency_on_quotient_coordinate	dependency_on_payload	dependency_on_counterexample_status	dependency_on_measure	dependency_on_normal_form	dependency_on_canonicalization	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
coordinate_contraction_status_language_well_defined	Coordinate contraction status uses preserved, reduced, named blocker, and deferred higher-support labels from the common status language.	1	status_preservation_language_90.tsv	none	proved_under_current_scope	no	no	no	no	no	no	no	no	no	1	use_status_language
coordinate_equivalence_congruent_for_payload	Accepted equivalent coordinates have mergeable payload roles under the quotient.	1	equivalent_support_coordinate_notation_90.tsv;contract_equivalent_support_coordinates_operation_semantics_90.tsv	layerwise payload refinement proof	proof_sketch_ready	yes	yes	yes	possible	no	possible	possible	possible	no	1	prove_payload_congruence_later
coordinate_equivalence_congruent_for_counterexample_status	Accepted equivalent coordinates have congruent counterexample-status/certificate roles under the quotient.	1	equivalent_coordinate_congruence_lemma_90.tsv	equivalent-coordinate counterexample-status congruence theorem	needs_counterexample_status_sublemma	yes	yes	possible	yes	possible	possible	possible	possible	possible	1	prove_status_congruence_later
quotient_coordinate_preserves_relevant_payload	Pushing payload fields along q preserves relevant payload carriers on quotient coordinates.	1	contract_equivalent_support_coordinates_smaller_witness_90.tsv	payload transfer under quotient normalization	proof_sketch_ready	yes	yes	yes	possible	no	yes	possible	possible	no	1	prove_payload_congruence_later
quotient_coordinate_preserves_counterexample_status_when_congruent	If status congruence and normal-form preservation hold, quotienting preserves counterexample status.	1	equivalent_coordinate_congruence_lemma_90.tsv;status_preservation_language_90.tsv	status congruence;normal-form preservation	proof_sketch_ready	yes	yes	possible	yes	possible	yes	possible	possible	no	1	prove_status_congruence_later
contraction_reduces_to_smaller_witness_when_status_changes	If status is not literally preserved but contracted status remains counterexample/reduced obstruction, measure decrease gives a smaller witness.	1	support_bound_measure_90.tsv;contract_equivalent_support_coordinates_smaller_witness_90.tsv	valid reduced-status theorem for quotient witness	needs_smaller_witness_sublemma	yes	yes	possible	yes	yes	yes	possible	possible	possible	1	prove_status_congruence_later
contraction_measure_decrease_already_available	Nontrivial accepted class strictly decreases the selected support measure.	1	contract_equivalent_support_coordinates_smaller_witness_90.tsv	none	proved_under_current_scope	yes	yes	no	no	yes	no	no	no	no	1	use_measure_guard
contraction_normal_form_preserved	Quotient followed by normalization preserves selected support normal form.	1	support_notation_and_normal_form_90.md	normal-form preservation under quotient	needs_normal_form_sublemma	yes	yes	possible	possible	possible	yes	possible	possible	no	1	prove_normal_form_later
contraction_family_chain_source_form_preserved	Recognized family-chain source form is preserved when source fields are quotient-compatible.	1	family_chain_lift_phase3_skeleton_90.tsv;family_chain_source_form_recognizer_90.md	family-chain source quotient proof	proof_sketch_ready	yes	yes	yes	possible	possible	yes	yes	yes	no	1	prove_source_form_later
contraction_status_failure_is_named_escape	Status failure is named as operation blocker or deferred higher-support escape after operation proofs close.	1	higher_support_escape_interface_90.tsv;operation_open_vs_higher_support_required_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope_as_partition	yes	possible	possible	possible	no	possible	possible	possible	yes	1	use_failure_classification
no_hidden_contraction_status_failure_case	Contraction status branch has no hidden class outside preserved, reduced, named blocker, singleton/no-op, or deferred higher-support escape.	1	contract_equivalent_status_preservation_scope_inventory_90.tsv	arbitrary witness completeness	proof_sketch_ready	yes	yes	possible	possible	possible	possible	possible	possible	yes	1	canonical_compression_status_preservation
