item_key	display_name	validation_status	provenance_source	current_bundle_version	current_bundle_source_path	current_bundle_summary_path	runtime_note_path	runtime_artifact_path	archival_note_path	imported_from_source_tag	imported_from_version	imported_from_path	fresh_rederivation	caveat
exact_minimal_basis_size_96	exact minimal basis size = 96	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/theorem_data_promotion_notes_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/exact_minimal_basis_generation_audit_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/exact_minimal_basis_fingerprint_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/exact_minimal_basis_minimality_fingerprint_90.tsv	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	basis_only_theorem_chain	closed-basis-chain		1	Current runtime rebuilt the authoritative 96-row exact-basis payload through the proof-motif constructor path and validated row-set equality against the imported 48 baseline.
exact_n5_basis_only_theorem	exact n=5 basis-only theorem	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/theorem_data_promotion_notes_90.md		/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	basis_only_theorem_chain	closed-basis-chain		1	Current runtime reran the exhaustive n=5 basis-only theorem audit against the fresh 96-row current exact-basis payload.
bounded_n6_c5_basis_only_theorem	bounded n=6, c<=5 basis-only theorem	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/theorem_data_promotion_notes_90.md		/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	basis_only_theorem_chain	closed-basis-chain		1	Current runtime reran the bounded n=6,c<=5 basis-only theorem audit against the fresh 96-row current exact-basis payload.
bounded_n7_c3_basis_only_theorem	bounded n=7, c<=3 basis-only theorem	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/theorem_data_promotion_notes_90.md		/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	basis_only_theorem_chain	closed-basis-chain		1	Current runtime reran the bounded n=7,c<=3 basis-only theorem audit against the fresh 96-row current exact-basis payload.
bounded_family_chain_theorem	bounded family-chain theorem	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/general_schema_obstruction_notes_90.md		/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	family_chain_output_57	57		1	Family-chain theorem data now uses a current constructor path for the authoritative support/unified obstruction theorem objects; pair52, triple53, quad55, quintuple57, sextuple57, septuple57, and high-family57 are current constructor/cache-backed when their runtime audits report fresh; family-chain lower-layer caveat is closed when high-family57 reports fresh. Constructor=build_current_family_chain_output_57_theorem_objects_
family_chain_self_verification	family-chain self verification	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/general_schema_obstruction_notes_90.md		/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	family_chain_output_57	57		1	Self verification reran against the current-runtime family-chain constructor path; pair52, triple53, quad55, quintuple57, sextuple57, septuple57, and high-family57 are current constructor/cache-backed when their runtime audits report fresh; family-chain lower-layer caveat is closed when high-family57 reports fresh. Constructor=build_current_family_chain_output_57_theorem_objects_
antecedent_plus_twelve_frontier	antecedent plus twelve frontier	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_plus_twelve_frontier_notes_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_plus_twelve_candidate_universe_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_result_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_progress_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_survivors_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_plus_one_result_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_plus_twelve_frontier_generation_audit_90.tsv	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/support8_antecedent15_shell_theorem_notes_90.md	support8_shell15_frontier_output_84	84	/mnt/data/full_dynamic_top_tree_engine_84.cpp	1	Current runtime now enumerates the antecedent-plus-twelve shell15 frontier, rebuilds the local-exact and plus-one caches, and validates row-set/count equality against the legacy 84 frontier output. Constructor=load_current_shell15_frontier_runtime_artifact_
support8_antecedent15_frontier	support8 antecedent15 frontier	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_antecedent15_frontier_notes_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_antecedent15_candidate_universe_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_result_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_progress_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_survivors_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_plus_one_result_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_antecedent15_frontier_generation_audit_90.tsv	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/support8_antecedent15_shell_theorem_notes_90.md	support8_shell15_frontier_output_84	84	/mnt/data/full_dynamic_top_tree_engine_84.cpp	1	Current runtime now enumerates the support8 antecedent15 shell15 frontier, rebuilds the local-exact and plus-one caches, and validates row-set/count equality against the legacy 84 frontier output. Constructor=load_current_shell15_frontier_runtime_artifact_
support8_antecedent15_shell_theorem	support8 antecedent15 shell theorem	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_antecedent15_shell_theorem_notes_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_plus_twelve_candidate_universe_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_antecedent15_candidate_universe_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_result_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_progress_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_local_exact_survivors_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/antecedent_shell15_plus_one_result_cache_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_antecedent15_shell_theorem_generation_audit_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/lower_frontier_ladder_generation_audit_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/lower_frontier_ladder_inventory_90.tsv	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/support8_antecedent15_shell_theorem_notes_90.md				1	Current runtime now closes the support8 antecedent15 shell theorem over a fresh lower-frontier dependency ladder and fresh shell15 frontier pair; shell11/shell12 objects remain outside the direct dependency subset.
support8_outside_bounded_tail_pattern_theorem	support8 outside-bounded tail pattern theorem	current_verified	fresh_current_runtime_generated	90	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/full_dynamic_top_tree_engine_90.cpp	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/project_status_summary_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_outside_bounded_tail_pattern_notes_90.md	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_tail_candidate_fingerprints_90.tsv;/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/support8_tail_stabilization_certificate_90.tsv	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/support8_outside_bounded_tail_pattern_notes_90.md				1	Tail pattern validation is now fully current-runtime generated from the fresh shell15 frontier pair and the current tail candidate/certificate artifacts.
