normal_form_component	definition	source_condition	compressed_condition	transfer_status	proof_requirement	failure_effect	current_status	caveat
source_motif_normal_form	The canonical motif M is in the source witness normal form.	W normal;M selected as canonical motif	none yet	source side available	source normal-form contract	not enough for compressed witness	proved_under_current_scope_input	Source normal form is not compressed transfer.
compressed_motif_normal_form	The compressed motif M_comp is the accepted lower-rank canonical representative.	M accepted compressible	M_comp canonical and lower rank	compressed motif target named	motif normal-form compatibility	compressed motif invalid blocker	proof_sketch_ready	Accepted representative does not by itself prove witness normal form.
source_witness_normal_form	The full source witness W is normalized before compression.	W normal over support S	rewrite target not yet normalized	input invariant available	source witness normal-form contract	operation precondition fails	proved_under_current_scope_input	Input only.
compressed_witness_normal_form	W_comp=normalize(rewrite(W,M,M_comp)) is the candidate compressed witness normal form.	rewrite(W,M,M_comp) defined	normalization succeeds and preserves status eligibility	target named, invariants open	compressed witness normal-form theorem	status comparison blocked	proof_ready_open	Normalizing step is not proof completion.
motif_compression_normal_form_rule	Rewrite then normalize should preserve or refine every status-relevant invariant.	accepted motif rewrite	normal-form fields reconstructed	refinement rule	motif-rewrite invariant preservation	normal-form blocker	proof_ready_open	Needs motif-specific lemma.
normal_form_preservation	Compression keeps the same status-applicable normal-form class.	motif rewrite invariant on status fields	W_comp in same status class	preservation branch	normal-form preservation theorem	route to refinement or blocker	proof_sketch_ready	Conditional.
normal_form_refinement	Compression changes representation but leaves a valid refined normal form.	accepted compression is nontrivial	W_comp valid reduced witness form	reduction/status-domain branch	valid refined compressed witness theorem	valid-reduction branch blocked	proof_sketch_ready	Can support reduction, not preservation.
normal_form_failure	Compressed normal-form invariants are not established.	normal-form transfer missing	W_comp not proven status-applicable	no status preservation claim	named failure classification	canonical-compression normal-form blocker	proved_under_current_scope_as_partition	Does not imply higher-support by itself.
status_domain_relation	Compressed normal form feeds compressed status-domain validity.	status predicate needs normal form	W_comp must be status-domain valid	normal form gates domain transfer	normal-form plus domain theorem	status-domain transfer blocked	blocked_by_normal_form	Separate from counterexample-status congruence.
family_chain_source_form_relation	Recognized family-chain source form must survive motif rewrite when relevant.	source recognizer fields are motif-compatible	W_comp recognized or failure named	source-form transfer	family-chain source-form motif proof	source-form blocker	proof_sketch_ready	Not family-chain absorption.
higher_support_relation	Normal-form failure is operation-local until all operation proofs close.	operation proof open	no true irreducible escape established	deferred escape interface	higher-support bound later	operation blocker first	higher_support_deferred	No support9+ scan.
