status_component	definition	source_condition	target_condition	preservation_rule	reduction_rule	evidence_needed	current_status	caveat
source_counterexample_status	Source witness is a support-growth counterexample candidate with obstruction payload.	recognized source form and source payload present	not yet lifted	source status encoded by source payload	not applicable	payload semantics;recognizer	proof_sketch_ready	Source-form soundness is still proof-sketch.
target_lifted_object_status	Lifted family-chain object carries target obstruction payload.	successful refined lift	target payload present	target status encoded by lifted payload	not applicable	refined lift map;payload semantics	proved_under_current_scope_conditional	Conditional on payload well-definedness.
status_preservation	Target lifted object has same obstruction/counterexample meaning as source.	source payload equals/refines target payload	target payload in family-chain theorem language	payload equality/refinement preserves status	not needed if exact preservation	payload equality/refinement;canonicalization	blocked_by_status_preservation	Main blocker.
status_reduction	Lift failure or payload refinement produces a smaller witness.	source status not preserved	smaller support tuple witness exists	not preserved	smaller witness under support measure	support measure decrease;operation preservation	blocked_by_status_preservation	No current proof constructs smaller witness from failed preservation.
smaller_witness_relation	Alternative witness has smaller support tuple.	source support tuple known	target/reduced witness tuple known	not a preservation rule	lexicographic support tuple decreases	support_bound_measure;operation-specific decrease	proof_sketch_ready	Requires operation sublemma.
obstruction_absorbed_status	Valid lifted object is closed by family-chain theorem.	lifted object target-language valid	family-chain theorem applies	contradicts existence of target obstruction	not applicable	family_chain_support_absorption;lower-layer fingerprint	proved_under_current_scope_conditional	Does not itself prove source payload preservation.
family_chain_theorem_contradiction	A valid lifted obstruction is impossible in current bounded family-chain theorem.	target object in theorem scope	self verification consistent	theorem closes target object	not applicable	family-chain theorem audit	proved_under_current_scope_conditional	Only after valid lifted payload.
non_preservation_escape	Preservation cannot be established.	payload mismatch or status preservation missing	named escape row	no preservation	no smaller witness yet	higher_support_escape_interface	proved_under_current_scope_as_escape_partition	Named but not closed.
relation_to_support_measure	Preservation failure may need support measure reduction.	support>8 normal witness	reduced witness if constructed	preservation bypassed by reduction	measure decreases	support_bound_measure;support_reduction_operations	proof_sketch_ready	Operation proof remains separate.
relation_to_limited_bridge	If reduced to support<=8, limited bridge theorem applies.	reduced witness support<=8	limited theorem assumptions hold	not direct preservation	support8 handled	limited_bridge_theorem_status	proved_under_current_scope	Only after valid reduction.
final_status	Status semantics are first-class, but preservation/reduction proof remains open.	recognized source form	lifted or reduced target	preservation or reduction required	named escape if missing	payload/status proof needed	counterexample_status_contract_ready_preservation_or_reduction_open	No full general theorem claim.
