component_key	definition	runtime_analogue	mathematical_role	current_verified_input	missing_sublemma	current_status	caveat
support_definition	The support of a witness is the finite set of symbols participating in its antecedents and conclusion.	num field and canonical schema symbol set	Defines support size used by the bound lemma.	structured local schema runtime rows	none for finite row language	derivable_now	Runtime schema support is finite and explicit.
support_size	The support size is the cardinality of the witness support set after canonical relabeling.	schema num value after canonicalization	Primary support-bound parameter.	canonical_structured_local_schema_fingerprint	formal equivalence proof for arbitrary math objects	proof_sketch_ready	Soundness outside runtime normal form remains separate.
support8_meaning	Support8 means normalized witness support size is at most 8.	support8 frontier and closure rows	Boundary where limited theorem applies.	current_support8_closure_certificate	none inside selected support8 scope	current_verified	Does not say support>8 is impossible.
support_shell_link	Shell index refines support8 witness by antecedent frontier depth.	antecedent shell frontier tags	Connects support-bound witness to shell/tail package.	shell15 and shell16 reviewed artifacts	general shell extension proof	proof_sketch_ready	Later shells remain broader obligations.
support_tail_link	Tail descriptor records whether a support8 witness is in checked tail range or first reviewed extension boundary.	tail witness normal form and shell16 extension_distance	Connects support bound to tail bridge.	tail_monotonicity_limited_bridge_skeleton	full tail monotonicity	proof_sketch_ready	Only checked plus first boundary is closed.
support_family_link	Family-chain component records bounded family obstruction pattern inside the support witness.	family-chain theorem objects and lower-layer inventory	Separates family obstruction from support growth.	family_chain_lower_layers_fingerprint	family-chain lift lemma	proof_sketch_ready	7/7 freshness is provenance closure, not full lift.
support_witness_normal_form	A support witness normal form is support size, canonical schema row, shell/tail descriptor, frontier status, family-chain component, and escape class.	minimal_counterexample_witness_normal_form plus support size	Routes witnesses into support8 handled case or higher-support escape.	minimal_counterexample_witness_normal_form_90.tsv	support normalization for arbitrary counterexample	proof_ready_skeleton	Normal form is a contract, not full theorem.
support_minimal_witness	A support-minimal witness minimizes lexicographic tuple support size, shell index, tail distance, family depth, frontier rank, canonical fingerprint.	support_bound_measure_90.tsv	Enables reduction-or-escape proof shape.	limited bridge measure artifacts	well-founded arbitrary witness class proof	proof_sketch_ready	Finite runtime cases are well-founded; general existence remains conditional.
support_growth_obstruction	A support growth obstruction is a witness whose support exceeds 8 and cannot currently be reduced without new lemma.	higher_support_escape row	Names the blocker instead of hiding it.	current support-bound escape interface	support reduction step	needs_support_reduction_lemma	This is the main open blocker.
higher_support_escape_condition	If support size is greater than 8 and no support-reduction or family-chain lift applies, route to higher_support_escape.	higher_support_escape_interface_90.tsv	Exact boundary between selected theorem and broader theorem.	current escape taxonomy	higher-support bound theorem	proof_ready_skeleton	Escape remains open for full general theorem.
