sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
active_support_well_defined	proved_under_current_scope	W is a finite normal support witness and dependency fields are finite	active_support(W) is a finite subset of support(W)	Active support is defined as a finite union of finite dependency coordinate sets inside the support normal-form contract.	branch_4/90/runtime/active_support_notation_90.tsv	arbitrary dependency extraction outside selected contract	use_project_to_active_contract
projection_output_well_defined	proved_under_current_scope	active_support contains all required payload/certificate/lift/status fields	restrict(W,active_support(W)) is defined	Every field retained by the output is indexed by active support by precondition, so restriction is well-defined before renormalization.	branch_4/90/runtime/project_to_active_support_operation_semantics_90.tsv	none inside active containment precondition	use_project_to_active_contract
projection_strictly_decreases_support_measure_when_inactive_support_exists	proved_under_current_scope	active_support(W)=A is a strict subset of S=support(W)	lexicographic support tuple strictly decreases	The first tuple coordinate changes from |S| to |A| with |A|<|S|.	branch_4/90/runtime/support_bound_measure_90.tsv	none	use_measure_decrease
projection_noop_when_all_support_active	proved_under_current_scope	active_support(W)=support(W)	projection creates no smaller witness and routes to next operation	If A=S, restrict(W,A)=W before renormalization and support_size does not decrease; this is a named no-op.	branch_4/90/runtime/project_to_active_support_smaller_witness_90.tsv	none	route_to_next_operation
projection_output_normal_form	proof_sketch_only	restricted output W|A is well-defined	W_active can be renormalized into selected support normal form	The support normal-form contract supplies the target language, but active-projection preservation for arbitrary schemas remains a proof sketch.	branch_4/90/runtime/support_notation_and_normal_form_90.tsv	normal-form preservation under active projection	normal_form_transfer_refinement
projection_preserves_payload_refinement	proved_under_current_scope	all payload coordinates are contained in A	payload carriers are preserved by projection	The payload carrier side is proved under the active support contract; arbitrary layerwise refinement beyond the selected contract remains separate.	branch_4/90/runtime/inactive_support_payload_locality_90.tsv	arbitrary layerwise refinement outside selected contract	use_payload_locality
projection_preserves_or_reduces_counterexample_status	proof_ready_skeleton_project_to_active_locality_status_domain_open	certificate/status coordinates are active	counterexample status is preserved under locality, reduced, or named as blocker/escape	The locality skeleton proves payload locality and isolates status-domain invariance, normal-form transfer, and valid reduced-status fallback.	branch_4/90/runtime/project_to_active_status_locality_skeleton_90.tsv	status-domain invariance;valid reduced-status fallback	contract_equivalent_status_congruence_refinement
projection_commutes_with_canonicalization	proof_sketch_only	active projection and canonical reindexing data are available	canonicalization commutes with projection up to reindexing	Phase3 canonical lift soundness provides the target proof skeleton, but active-projection commutation is not completed.	branch_4/90/runtime/family_chain_canonical_lift_soundness_90.tsv	canonical reindexing under active projection	contract_equivalent_status_congruence_refinement
projection_respects_family_chain_source_form	proof_sketch_only	recognized family-chain fields are contained in active support	projected witness remains a recognized family-chain source form	The recognizer/lift map expose the needed fields; full preservation remains proof-sketch.	branch_4/90/runtime/family_chain_source_form_recognizer_90.tsv	family-chain source-form projection proof	source_form_transfer_refinement
projection_failure_is_named_escape	proved_under_current_scope	active projection precondition or status proof fails	failure is named as no-op, blocker, next operation, or deferred higher-support escape	The higher-support interface and operation inventory distinguish non-application/status failure from a successful reduction.	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher-support bound after operation proofs close	use_failure_classification
no_hidden_projection_failure_case	proof_sketch_only	current operation taxonomy is applied	success/no-op/blocker/next-operation/escape cases are explicit	The table has no hidden projection class, but arbitrary support-growth completeness remains outside this operation proof.	branch_4/90/runtime/project_to_active_locality_obligations_90.tsv	arbitrary witness completeness proof	contract_equivalent_status_congruence_refinement
