layer_key	source_payload_component	projected_component	projection_rule	well_defined	preserves_refinement	commutes_with_canonicalization	failure_effect	proof_status	missing_sublemma
pair52	recognized pair payload	pair52 bounded region payload	project pair component into pair52 row	1	proof_sketch_only	proof_sketch_only	named_layer_projection_blocker	proof_ready_skeleton	pair_projection_payload_preservation
triple53	recognized triple payload	triple53 theorem-data payload	route depth=3 component to triple53 row	1	proof_sketch_only	proof_sketch_only	named_layer_projection_blocker	proof_ready_skeleton	triple_projection_payload_preservation
quad55	recognized quadruple payload	quad55 theorem-data payload	route depth=4 component to quad55 row	1	proof_sketch_only	proof_sketch_only	named_layer_projection_blocker	proof_ready_skeleton	quad_projection_payload_preservation
quint57	recognized quintuple payload	quint57 theorem-data payload	route depth=5 component to quint57 row	1	proof_sketch_only	proof_sketch_only	named_layer_projection_blocker	proof_ready_skeleton	quint_projection_payload_preservation
sext57	recognized sextuple payload	sext57 theorem-data payload	route depth=6 component to sext57 row	1	proof_sketch_only	proof_sketch_only	named_layer_projection_blocker	proof_ready_skeleton	sext_projection_payload_preservation
sept57	recognized septuple payload	sept57 theorem-data payload	route depth=7 component to sept57 row	1	proof_sketch_only	proof_sketch_only	named_layer_projection_blocker	proof_ready_skeleton	sept_projection_payload_preservation
high57	recognized high-family payload	high57 aggregate payload	route depth>=6 aggregate component to high57 row	1	proof_sketch_only	proof_sketch_only	named_layer_projection_blocker	proof_ready_skeleton	high_projection_payload_preservation
source_signature	recognized source signature	source family signature row	copy normalized family signature into target source row	1	proof_sketch_only	proof_sketch_only	recognizer_soundness_blocker	proof_sketch_ready	recognizer_soundness_proof
canonical_lifted_payload	recognized canonical motif	canonical lifted family payload	canonicalize target after projection	1	proof_sketch_only	proof_sketch_only	canonical_lift_blocker	proof_sketch_ready	canonical_lift_soundness
obstruction_payload	recognized obstruction payload	lifted obstruction object	attach obstruction payload to projected target row	1	proof_sketch_only	proof_sketch_only	status_preservation_blocker	proof_sketch_ready	obstruction_status_preservation_theorem
counterexample_payload	recognized counterexample payload	lifted or reduced counterexample payload	use preserved payload or smaller-witness branch	1	blocked	blocked	smaller_witness_operation_blocker	blocked_by_status_preservation	counterexample_status_or_operation_sublemma
final_status	all recognized layer projections	lifted family-chain payload bundle	declared by phase2 correspondence	1	proof_sketch_only	proof_sketch_only	layer_projection_semantic_open	proof_ready_skeleton_layer_projection_open	layer_projection_payload_preservation_sublemmas
