semantic_key	definition	source_condition	contracted_condition	status_effect	proof_requirement	failure_effect	current_status	caveat
source_witness_status	The source status is the counterexample/obstruction status attached to the normal witness before quotienting.	W is normal and has finite support S	status is evaluated on W	baseline_status	status language must be fixed	not_applicable	proved_under_current_scope	Classification only; not a theorem about arbitrary status semantics.
contracted_witness_status	The contracted status is the status evaluated on W_contract=normalize(pushforward(W,q)).	accepted equivalence classes and quotient map q:S->S/~ are defined	W_contract is normalized on S/~	status_after_contraction	normal-form and status evaluation must be defined	contraction_status_blocker	proof_sketch_ready	Normal-form preservation remains proof-sketch for arbitrary quotient witnesses.
coordinate_equivalence_dependence	Status preservation depends on accepted coordinate equivalence being a congruence for all status-relevant fields.	nontrivial class C is accepted equivalent	quotient coordinate [C] replaces C	status_preserved_if_congruent	equivalent-coordinate status congruence	status_congruence_blocker	proof_sketch_ready	This is the central open status hypothesis.
quotient_coordinate_status_effect	All coordinates in one accepted class are represented by one quotient coordinate.	class C has size greater than one	status fields are pushed to [C]	status_preserved_or_reduced_if_merge_valid	quotient field merge proof	quotient_status_merge_blocker	proof_sketch_ready	The quotient is well-defined under preconditions, but status merge validity is not complete.
status_preserved_case	Contraction preserves counterexample status.	status certificate is invariant under replacing C by [C]	W_contract has same counterexample status	status_preserved	equivalent-coordinate status congruence plus normal-form preservation	not_applicable	proof_sketch_ready	Not promoted to proved.
status_reduced_case	Contraction creates a smaller counterexample/status witness.	nontrivial class exists and contracted status is valid counterexample or reduced obstruction	W_contract is smaller under support measure	status_reduced_to_smaller_witness	measure decrease plus valid reduced-status theorem	status_reduction_blocker	proof_sketch_ready	Measure decrease is proved; status transfer/reduction remains open.
status_lost_case	Contraction destroys status without proving reduced/refuted branch.	status fields are not congruent across the class	W_contract lacks required status	status_escape_to_named_operation_blocker	name exact missing congruence/status lemma	status_failure_named_blocker	proved_under_current_scope_as_partition	Failure is named, not hidden as success.
status_escape_case	After operation proof closure, unresolved support>8 residual can become deferred higher-support escape.	all project/contraction/compression/absorption operations fail after proofs	no valid reduction remains	status_escape_to_higher_support	higher-support bound after operation proofs close	deferred_higher_support_escape	proved_under_current_scope_as_partition	No support9+ scan is run.
relation_to_support_measure	A nontrivial equivalence class strictly decreases support_size.	C has size greater than one	|S/~| < |S|	support_measure_decreases	finite partition arithmetic	not_smaller_if_all_singleton	proved_under_current_scope	Measure decrease does not imply status preservation.
relation_to_payload_refinement	Payload fields must be mergeable along q.	payload roles agree inside every class	quotient payload remains represented	payload_refinement_preserved_or_open	payload congruence under quotient	payload_refinement_blocker	proof_sketch_ready	Layerwise payload proof remains sketch outside accepted contract.
relation_to_canonicalization	Canonical roles must commute with quotient and normalization.	canonical roles are compatible inside every class	normalize(pushforward(W,q)) is canonical-compatible	canonicalization_preserved_or_open	canonical quotient commutation	canonicalization_blocker	proof_sketch_ready	Separate from canonical motif compression.
relation_to_family_chain_source_form	Recognized family-chain source form must remain recognized or route to a named blocker.	family-chain source fields are quotient-compatible	W_contract remains recognized or named blocker	source_form_preserved_or_open	source-form quotient preservation	source_form_blocker	proof_sketch_ready	Separate from family-chain absorption.
relation_to_higher_support_escape	Failure after operation proof closure can become deferred higher-support escape.	all operation-specific proof routes close or fail	true irreducible support>8 remains	deferred_higher_support_escape	higher-support bound	higher_support_deferred	proved_under_current_scope_as_partition	Higher-support necessity remains deferred.
