obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_active_support	dependency_on_payload	dependency_on_counterexample_status	dependency_on_measure	dependency_on_normal_form	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
active_projection_status_language_well_defined	Project-to-active status uses preserved, reduced, named blocker, and deferred higher-support escape labels from the common status language.	1	status_preservation_language_90.tsv	none	proved_under_current_scope	no	no	no	no	no	no	no	1	use_status_language
inactive_support_irrelevant_to_payload	Inactive support is outside payload dependency coordinates under the active support definition.	1	active_support_notation_90.tsv;project_to_active_status_semantics_90.tsv	layerwise payload refinement proof for arbitrary family-chain rows	proved_under_current_scope	yes	yes	possible	no	possible	possible	no	1	use_payload_side
inactive_support_irrelevant_to_counterexample_status	Inactive support is irrelevant to counterexample status once all status/certificate dependencies are active.	1	inactive_support_irrelevance_lemma_90.tsv	status locality theorem under projection	needs_counterexample_status_sublemma	yes	possible	yes	possible	possible	possible	possible	1	prove_next_support_reduction_operation_sublemma
projection_preserves_relevant_payload	Projection preserves relevant payload carriers on active coordinates.	1	project_to_active_support_smaller_witness_90.tsv	payload transfer under renormalization	proof_sketch_ready	yes	yes	possible	no	yes	possible	no	1	prove_next_support_reduction_operation_sublemma
projection_preserves_counterexample_status_when_inactive_irrelevant	If inactive coordinates are status-irrelevant and normal form is preserved, status is preserved.	1	inactive_support_irrelevance_lemma_90.tsv;status_preservation_language_90.tsv	inactive-support status locality;normal-form preservation	proof_sketch_ready	yes	possible	yes	possible	yes	possible	no	1	prove_next_support_reduction_operation_sublemma
projection_reduces_to_smaller_witness_when_status_changes	If status is not literally preserved but projected status remains counterexample/reduced obstruction, measure decrease gives a smaller witness.	1	support_bound_measure_90.tsv;project_to_active_support_smaller_witness_90.tsv	status-reduction theorem for projected witness	needs_smaller_witness_sublemma	yes	possible	yes	yes	yes	possible	possible	1	prove_next_support_reduction_operation_sublemma
projection_measure_decrease_already_available	Strict active subset decreases the selected support measure.	1	project_to_active_support_smaller_witness_90.tsv	none	proved_under_current_scope	yes	no	no	yes	no	no	no	1	use_measure_guard
projection_normal_form_preserved	Projection followed by renormalization preserves selected normal form.	1	support_notation_and_normal_form_90.md	normal-form preservation under active projection	needs_normal_form_sublemma	yes	possible	possible	possible	yes	possible	no	1	prove_next_support_reduction_operation_sublemma
projection_family_chain_source_form_preserved	Recognized family-chain source form is preserved when recognizer/lift fields are active.	1	family_chain_source_form_recognizer_90.md;family_chain_refined_lift_map_90.md	family-chain source projection proof	proof_sketch_ready	yes	yes	possible	possible	yes	yes	no	1	prove_next_support_reduction_operation_sublemma
projection_status_failure_is_named_escape	Status failure is named as operation blocker or deferred higher-support escape after operation proofs close.	1	higher_support_escape_interface_90.tsv;operation_open_vs_higher_support_required_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope_as_partition	yes	possible	possible	no	possible	possible	yes	1	use_failure_classification
no_hidden_projection_status_failure_case	Projection status branch has no hidden class outside preserved, reduced, named blocker, no-op, or deferred higher-support escape.	1	project_to_active_status_preservation_scope_inventory_90.tsv	arbitrary witness completeness	proof_sketch_ready	yes	possible	possible	possible	possible	possible	yes	1	prove_next_support_reduction_operation_sublemma
