semantic_component	definition	input_witness_condition	compressible_motif_condition	compression_rule	output_witness_construction	support_effect	canonical_measure_effect	payload_effect	counterexample_status_effect	relation_to_family_chain_lift	relation_to_higher_support_escape	current_status	caveat
input_witness	Normal support witness W with support size greater than 8 or an already-reduced witness still above the selected boundary.	W finite and in support normal form	not yet applied	none	W is source object	support_size k	original motif rank r	source payload present	source status present	may be recognized family-chain source	not escape yet	proved_under_current_scope	Does not prove such witness always has compressible motif.
preconditions	W has an accepted canonical motif M and compression candidate M_comp.	W normal and canonicalized	M_comp lower in canonical order and preservation preconditions declared	accept if lower-rank representative exists	candidate operation enabled	support nonincreasing	rank decreases if support equal	payload relation required	status relation required	recognized source-form compatibility required	otherwise named blocker	proof_ready_skeleton	Preservation preconditions are not full theorems.
compressible_motif_detection	Find canonical mismatch or redundant canonical row structure with lower-rank representative.	W has canonical motif row	M is compressible if accepted reduction row exists	select M -> M_comp	no output yet	no support effect yet	detects rank opportunity	no payload claim	no status claim	feeds phase3 canonical blocker	no accepted row -> no-op later operation	proved_under_current_scope	Detection is under declared contract, not exhaustive search.
compression_rule	Replace M by M_comp and reindex affected motif-local fields.	W contains M	M_comp accepted	rewrite motif payload/canonical fields	W_raw = rewrite(W,M,M_comp)	support may drop if fields vanish	rank target lower	payload should refine source	status unknown	may preserve family-chain source form conditionally	invalid rewrite named failure	proof_ready_skeleton	Rewrite soundness for arbitrary rows remains proof-sketch.
output_witness_construction	Normalize the rewritten witness.	W_raw exists	compression rule accepted	W_comp = normalize(W_raw)	W_comp	support_after <= support_before	rank_after < rank_before if support equal	payload refinement proof-sketch	status preservation blocked	recognized form proof-sketch	failure named	proved_under_current_scope_candidate	Output candidate is well-defined under normalization contract.
support_effect	Compression never increases support under accepted rule.	W normal	M_comp uses subset or same support	rewrite cannot introduce new support atoms	normalize after rewrite	nonincreasing	support decrease possible	payload support nonincreasing	status support relation open	compatible if recognized fields survive	increase would be invalid compression	proof_sketch_ready	Support nonincrease proof outside accepted rule remains sketch.
canonical_measure_effect	If support size is unchanged, canonical motif rank strictly decreases.	support_after=support_before	M_comp lower-rank	rewrite to lower canonical representative	W_comp has lower motif rank	zero support delta	negative canonical rank delta	payload relation conditional	status relation open	helps canonical lift blocker	no rank drop -> no compression	proved_under_current_scope	Rank comparison is selected contract, not global completeness.
lexicographic_measure_effect	Selected support tuple decreases if support decreases or support is fixed and canonical rank decreases.	W_comp constructed	compression accepted	compare tuple before and after	W_comp smaller candidate	negative or zero support delta	negative lexicographic delta under fixed earlier components	no direct payload claim	no direct status claim	measure route for smaller witness	failure to decrease named	proved_under_current_scope	Earlier tuple components must be fixed by operation preconditions.
normal_form_effect	Normalize restores support normal form after motif rewrite.	W_raw constructed	M_comp accepted	normalization step	W_comp in normal form by contract	no increase intended	rank comparable after normalization	payload fields may be relabeled	status fields may be relabeled	recognized form conditional	normalization failure named	proof_sketch_ready	Needs dedicated normal-form preservation proof.
payload_effect	Compressed motif payload refines source motif payload if motif refinement precondition holds.	payload slots mapped	M_comp payload relation accepted	rewrite payload fields	W_comp payload refines W payload	no support claim	rank relation aids canonical match	conditional payload refinement	status not implied	feeds obstruction preservation	payload failure named blocker	proof_sketch_ready	Payload-refinement theorem not completed.
counterexample_status_effect	Compression must preserve status or produce smaller status-refuting witness.	status certificate present	status relation accepted or operation-specific reduction theorem available	transfer or reduce status	W_comp status candidate	no direct support claim	measure decrease supports reduction branch	payload prerequisite	status blocked unless theorem supplied	feeds status theorem failure	status failure named blocker	blocked_by_counterexample_status	Counterexample-status preservation is not proved.
family_chain_lift_relation	If W is recognized family-chain source form, compression must preserve recognizer or route to family-chain/non-family-chain blocker.	recognized source form	compatible motif compression	rewrite within recognized form if possible	W_comp may remain recognized	source/rank nonincrease	canonical relation proof-sketch	payload layer relation conditional	status open	phase3 canonical proof-ready branch	non-family-chain case named	proof_sketch_ready	Not family-chain absorption.
higher_support_escape_relation	If no accepted compression or preservation proof is available, the failure is named and later routed to remaining operation or higher-support escape.	operation taxonomy applies	no accepted compression or proof missing	no operation success	no smaller witness claimed	no decrease claimed	no rank decrease claimed	no payload claim	no status claim	remaining family-chain absorption may apply	final irreducible case remains escape	proved_under_current_scope_as_classification	Escape classification is not closure.
final_status	Compression semantics are first-class and proof-ready with lexicographic measure decrease under accepted compressible motif precondition.	selected operation only	accepted compressible motif required	lower-rank rewrite	W_comp=normalize(rewrite(W,M,M_comp))	nonincreasing or decreasing support	strict lexicographic decrease under precondition	conditional payload refinement	status preservation blocked	conditional family-chain preservation	named failure if preconditions absent	canonical_motif_compression_semantics_contract_ready	No full operation theorem.
