item_key	candidate_row_count	candidate_universe_fingerprint	imported_counts_fingerprint	imported_count_equality	imported_row_set_equality
support_plus_one_frontier	294	16050:5135167170753575324	368|294|294|161|6|0|0|0	1	1
antecedent_plus_one_frontier	208	14144:3999388981417844126	648|502|208|0|0|0|0|0	1	1
mixed_outside_bounded_frontier	208	14144:11254036897727271063	648|502|208|0|0|0|0|0	1	1
antecedent_plus_two_frontier	154	11858:15899609908210511597	224|154|154|0|0|0|0|0	1	1
support8_antecedent5_frontier	154	11858:17332073739456232280	224|154|154|0|0|0|0|0	1	1
antecedent_plus_three_frontier	70	6020:14424497854565611787	112|70|70|0|0|0|0|0	1	1
support8_antecedent6_frontier	70	6020:16154916361439314399	112|70|70|0|0|0|0|0	1	1
antecedent_plus_four_frontier	18	1710:12999662707757580722	32|18|18|0|0|0|0|0	1	1
support8_antecedent7_frontier	18	1710:344813284924225089	32|18|18|0|0|0|0|0	1	1
antecedent_plus_five_frontier	2	208:11195192915426477613	4|2|2|0|0|0|0|0	1	1
support8_antecedent8_frontier	2	208:13200694818153479953	4|2|2|0|0|0|0|0	1	1
antecedent_plus_six_frontier	2	208:11195192915426477613	4|2|2|0|0|0|0|0	1	1
support8_antecedent9_frontier	2	208:13200694818153479953	4|2|2|0|0|0|0|0	1	1
antecedent_plus_seven_frontier	2	208:11195192915426477613	4|2|2|0|0|0|0|0	1	1
support8_antecedent10_frontier	2	208:13200694818153479953	4|2|2|0|0|0|0|0	1	1
antecedent_plus_ten_frontier	2	208:11195192915426477613	4|2|2|0|0|0|0|0	1	1
support8_antecedent13_frontier	2	208:13200694818153479953	4|2|2|0|0|0|0|0	1	1
antecedent_plus_eleven_frontier	2	208:11195192915426477613	4|2|2|0|0|0|0|0	1	1
support8_antecedent14_frontier	2	208:13200694818153479953	4|2|2|0|0|0|0|0	1	1
