semantic_key	definition	source_condition	absorption_target_condition	status_effect	proof_requirement	failure_effect	current_status	caveat
source_witness_status	Counterexample status carried by the original normal support>8 family-chain source-form witness.	normal recognized support>8 witness	absorption trigger may or may not be present	source status is the object to preserve, refute, reduce, or escape	status language contract	status is routed to named blocker if source form is not recognized	contract_ready	Does not assert source refutation without target alignment.
absorption_target_status	Status of the bounded family-chain target produced from the absorption trigger.	trigger recognized and target layer selected	target belongs to pair52 through high57 fresh package	target status can be checked against bounded family-chain theorem	target construction and package membership	applicability blocker if target cannot be validated	contract_ready	Lower-layer freshness proves availability, not arbitrary applicability.
absorbed_refuted_status	Target/source status is closed by contradiction when the bounded theorem applies to the same obstruction payload.	source payload/status aligns with target theorem input	target theorem applies	status_refuted_by_contradiction	payload/status alignment plus bounded theorem	lifted-target-only refutation blocker	proof_sketch_ready	Direct source refutation remains conditional.
reduced_status	Residual branch status is reduced only when absorption output is normalized and strictly smaller.	direct refutation unavailable	residual witness candidate exists	status_reduced_to_smaller_witness	residual measure decrease;payload transfer;normal form	measure_or_status_named_blocker	blocked_by_measure	No smaller-witness claim without strict decrease.
escaped_status	Failure of trigger, target validity, theorem applicability, payload/status alignment, or measure decrease is named.	operation precondition or proof branch fails	target or residual branch fails	status_escape_to_named_operation_blocker_or_deferred_higher_support_escape	escape interface coverage	higher-support recheck remains deferred	proved_under_current_scope	Escape is classification, not theorem completion.
family_chain_theorem_contradiction_status	Bounded family-chain theorem refutes a valid target object.	valid theorem input	fresh target object with aligned payload	status_absorbed_by_family_chain_theorem_or_refuted	family-chain support absorption theorem applicability	family-chain applicability blocker	proof_sketch_ready	Applicability and source refutation are distinct.
self_verification_consistency_status	Runtime self-verification supports current target package identity.	source trigger selects current target object	object appears in self-verified lower-layer package	target identity is consistent	current generation audit and fingerprint	target identity proof for arbitrary trigger	proved_under_current_scope	Self-verification is package consistency, not status proof.
lower_layer_7_7_applicability_status	Seven lower family-chain layers are fresh and imported count is zero.	recognized target layer	pair52 through high57 package status	target availability is current-runtime fresh	lower-layer fingerprint and audit	target construction totality still needed	proved_under_current_scope	Does not imply arbitrary family-chain absorption proof.
residual_measure_decrease_status	Strict decrease needed for residual smaller-witness branch.	residual absorption output exists	output normalized	strict decrease not yet proved	operation-specific measure lemma	named measure blocker	blocked_by_measure	Contradiction branch does not require smaller witness.
payload_refinement_relation	Source-to-target or source-to-residual payload relation needed for status transfer.	source payload defined	target/residual payload defined	payload preserved or refined	payload correspondence lemma	payload blocker	proof_sketch_ready	Open for all absorption branches.
canonicalization_relation	Absorption output must not violate canonical normal form or motif compression contracts.	residual output exists	canonical normalization applies	canonical compatibility classified	canonicalization compatibility lemma	named canonicalization blocker	proof_sketch_ready	Separate from canonical motif compression operation.
higher_support_escape_relation	Unresolved residuals remain deferred higher-support candidates after operation proofs close.	no branch closes	source remains support>8	status_escape_to_higher_support_deferred	higher-support bound after operation proofs	higher-support necessity recheck	proved_under_current_scope	No support9 scan was run.
