obligation_key	statement	required_for_selected_operation	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_absorption_trigger	dependency_on_family_chain_layers	dependency_on_family_chain_theorem	dependency_on_measure	dependency_on_payload_refinement	dependency_on_counterexample_status	dependency_on_canonicalization	dependency_on_higher_support	can_attempt_now	recommended_next_action
absorption_trigger_well_defined	The absorption trigger is a named predicate on recognized family-chain support-growth components.	1	family_chain_obstruction_language_90.tsv;family_chain_source_form_recognizer_90.tsv	none inside selected contract	proved_under_current_scope	yes	no	no	no	no	no	no	no	1	use_as_precondition
absorption_target_layer_well_defined	The trigger selects a bounded lower-layer family-chain target layer.	1	family_chain_lower_layers_fingerprint_90.tsv	layer-selection proof for arbitrary recognized source	proof_sketch_ready	yes	yes	no	no	no	no	no	no	1	refine_if_needed
absorption_target_object_in_fresh_family_chain_package	The selected target object is drawn from the current fresh family-chain package.	1	family_chain_lower_layers_fingerprint_90.tsv	target-construction totality for arbitrary trigger	proved_under_current_scope	yes	yes	no	no	no	no	no	no	1	use_fresh_package_input
bounded_family_chain_theorem_applies_to_absorption_target	The bounded family-chain theorem applies when target object and payload are valid.	1	family_chain_support_absorption_90.tsv;limited_bridge_theorem_status_90.tsv	payload/status alignment with source	proof_sketch_ready	yes	yes	yes	no	yes	possible	no	no	1	higher_support_necessity_recheck
self_verification_applies_to_absorption_target	The target object remains within self-verified current-runtime theorem data.	1	family_chain_lower_layers_generation_audit_90.tsv	target identity proof for arbitrary trigger	proved_under_current_scope	yes	yes	yes	no	no	no	no	no	1	use_fresh_package_input
absorption_contradiction_valid	The contradiction branch refutes the source branch when target theorem applies to the same obstruction payload.	1	family_chain_support_absorption_90.tsv	payload equality/refinement;counterexample-status refutation proof	proof_sketch_ready	yes	yes	yes	no	yes	yes	no	no	1	higher_support_necessity_recheck
absorption_smaller_witness_well_defined	The residual witness after absorption is well-defined when direct contradiction is unavailable.	1	support_notation_and_normal_form_90.md;family_chain_absorption_reduction_construction_90.tsv	normal-form residual construction	proof_sketch_ready	yes	yes	possible	possible	yes	possible	yes	no	1	refine_operation_construction
absorption_smaller_witness_measure_decreases	The residual witness strictly decreases support size or selected lexicographic measure.	1	support_bound_measure_90.tsv	operation-specific measure decrease for residual branch	needs_measure_sublemma	yes	possible	no	yes	no	no	possible	no	1	higher_support_necessity_recheck
absorption_preserves_payload_refinement	The absorption output or contradiction branch respects source-target payload refinement.	1	family_chain_payload_refinement_relation_90.tsv;family_chain_source_target_payload_correspondence_90.md	payload transfer through absorption	proof_sketch_ready	yes	yes	possible	possible	yes	possible	yes	no	1	higher_support_necessity_recheck
absorption_preserves_or_reduces_counterexample_status	The operation preserves, reduces, or refutes counterexample status.	1	family_chain_counterexample_status_preservation_theorem_90.md	status-preservation or reduction theorem	needs_counterexample_status_sublemma	yes	possible	possible	possible	yes	yes	possible	no	1	higher_support_necessity_recheck
absorption_output_normal_form	The smaller-witness output is in support normal form after normalization.	1	support_notation_and_normal_form_90.md	normal-form preservation under absorption rewrite	proof_sketch_ready	yes	possible	no	possible	possible	possible	yes	no	1	refine_operation_construction
absorption_commutes_with_canonicalization	Absorption does not conflict with canonicalization or motif compression contracts.	1	canonical_motif_compression_skeleton_90.tsv;family_chain_canonical_lift_soundness_90.md	canonicalization commutation proof	needs_canonicalization_sublemma	yes	possible	no	possible	possible	possible	yes	no	1	higher_support_necessity_recheck
absorption_failure_is_named_escape	Failure of trigger, applicability, measure, payload, or status becomes a named blocker or escape.	1	higher_support_escape_interface_90.tsv	closure of higher-support escape	proved_under_current_scope	yes	possible	possible	possible	possible	possible	possible	yes	1	higher_support_necessity_recheck_after_status_bridge
no_hidden_absorption_failure_case	The operation taxonomy covers contradiction, smaller witness, named blocker, and escape branches.	1	family_chain_absorption_reduction_construction_90.tsv;higher_support_escape_interface_90.tsv	arbitrary-witness completeness proof	proof_sketch_ready	yes	possible	possible	possible	possible	possible	possible	yes	1	higher_support_necessity_recheck
