semantic_component	definition	input_witness_condition	active_support_condition	output_witness_construction	support_effect	payload_effect	canonicalization_effect	counterexample_status_effect	relation_to_family_chain_lift	relation_to_higher_support_escape	current_status	caveat
input_witness_form	Normal support witness W with finite support set S and selected lexicographic support tuple.	W is in support normal form and support_size(W)>8	active support A is defined from W	none	none	none	none	none	May be recognized family-chain or non-family-chain.	Non-normal input is outside current operation.	proved_under_current_scope	Only selected normal-form contract.
active_support_computation	A is the union of payload, certificate, frontier/shell/tail, canonical motif, and family-chain lift dependency coordinates.	normal witness exposes these dependency fields	A subset S and contains all required fields	none	none	defines payload domain for output	defines canonical reindex domain	defines certificate domain for output	Family-chain fields are retained if present.	If A cannot be computed, projection is named failure.	proof_ready_skeleton	Completeness of dependency extraction remains proof-sketch.
projection_precondition	The operation applies when A is a strict subset of S.	W has inactive_support=S\\A nonempty	A proper subset S	W_active=normalize(restrict(W,A))	support_size decreases	payload restricted to active domain	canonical row may need reindexing	certificate remains only if contained in A	Recognized source form can persist if all recognizer fields are in A.	If A=S, this operation is no-op and routes to next operation.	proved_under_current_scope	Strict subset condition is required.
output_witness_construction	Restrict every witness component to A and renormalize by selected support normal form.	A is well-defined and contains required fields	A used as output support	W_active=normalize(W|A)	output support is A	payload relation should be preserved on A	canonicalization commutes only up to reindexing	counterexample certificate transfers when all status fields are in A	family-chain lift fields remain if included in A	Failure to renormalize is named projection blocker.	proof_ready_skeleton	Normal-form preservation remains proof-sketch.
support_measure_before_after	If |A|<|S|, first coordinate support_size decreases.	support_size(W)=k and |A|=a<k	A strict subset	|support(W_active)|=a	first lexicographic component decreases	none	none	none	none	none	proved_under_current_scope	Assumes finite support tuple.
payload_effect	Payload rows are restricted to active coordinates, preserving/refining source-target payload relation when all payload coordinates are in A.	payload coordinates subset A	A contains payload support	projected payload on A	no extra support	payload preserved/refined conditionally	canonical payload row reindexed	counterexample payload should remain equivalent	family-chain payload preserved if family fields subset A	Failure is payload-refinement blocker.	proof_sketch_ready	Full payload-refinement proof is not completed.
counterexample_status_effect	Counterexample status transfers if certificate/status fields are included in A; otherwise operation fails rather than preserving status.	certificate support subset A	A contains status certificate	transfer certificate to W_active	smaller witness if status transfers	status preservation conditional	canonical status row may reindex	preserved or reduced to smaller witness under certificate containment	family-chain status preserved only under recognized-source compatibility	Failure is named status-preservation blocker.	proof_sketch_ready	Status preservation theorem remains open.
all_support_active_case	If A equals S, projection creates no smaller witness.	W in active support normal form	A=S	W_active=W	no measure decrease	none	none	no reduction by this operation	next operation may still apply	not higher-support until all operations fail	proved_under_current_scope	No-op is not proof failure.
failure_classification	If active support is ill-defined, omits required fields, or projection cannot be normalized, the case is named.	projection preconditions fail	A invalid or not sufficient	no valid output	none	blocker or escape	blocker or escape	blocker or escape	may route outside family-chain source form	Higher-support escape only after operation taxonomy exhausted.	proved_under_current_scope	Higher-support bound still open.
final_status	Project-to-active semantics are first-class and proof-ready with strict measure decrease under proper active subset.	selected operation only	A computed; A proper subset required	W_active=normalize(restrict(W,A))	negative support_size when active subset strict	conditional payload preservation	conditional canonical reindexing	conditional status preservation/reduction	conditional recognized-source preservation	named operation failure if preconditions absent	project_to_active_semantics_contract_ready	Not all operation proofs or full theorem proved.
