sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
lift_map_targets_fresh_layers	proved_under_current_scope	target layer is pair52/triple53/quad55/quint57/sext57/sept57/high57	target layer is fresh current-runtime generated	The family-chain lower-layer fingerprint records total 7, fresh 7, imported 0, caveat closed 1.	branch_4/90/runtime/family_chain_lower_layers_fingerprint_90.tsv	none	maintain_certificate
family_chain_theorem_applies_to_lifted_object	proved_under_current_scope	valid lifted object satisfies bounded family-chain target language	bounded family-chain theorem applies	Current family-chain theorem closes bounded family-chain objects once the valid target-language precondition is met.	branch_4/90/runtime/family_chain_support_absorption_90.tsv	valid preserved lifted payload	use_as_conditional_target_lemma
lift_map_total_on_recognized_sources	proved_under_current_scope	recognizer accepts all required fields	refined lift map has a target component for the recognized witness	The refined map covers pair52, triple53, quad55, quint57, sext57, sept57, and high57 target layers.	branch_4/90/runtime/family_chain_refined_lift_map_90.tsv	recognizer acceptance	use_as_refined_map_contract
payload_well_defined_for_recognized_lift	proved_under_current_scope	recognized source and refined target payload fields are present	source and target payloads are well-defined	Payload semantics now define source/target payload contracts under recognized lift.	branch_4/90/runtime/family_chain_obstruction_payload_semantics_90.tsv	none inside recognized contract	use_as_payload_contract
preservation_failure_is_named_escape	proved_under_current_scope	preservation cannot be established	case is routed to named escape/blocker	The higher-support escape interface names preservation-open and payload mismatch cases.	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher-support bound for closure	higher_support_necessity_recheck
recognizer_soundness	proof_sketch_only	recognizer accepts component checks	accepted witness has family-chain source form	The component checks define source form, but a mathematical soundness proof remains proof-sketch level.	branch_4/90/runtime/family_chain_source_form_recognizer_90.tsv	recognizer_soundness_proof	family_chain_lift_phase3_if_needed
canonicalization_commutes_with_lift	proof_sketch_only	source and target canonical rows are compatible	lift respects canonical equivalence	Current row equality/fingerprint evidence gives a proof-ready contract, not full mathematical equivalence.	branch_4/90/runtime/family_chain_refined_lift_map_90.tsv	canonical_lift_soundness	canonicalization_commutes_with_lift_sublemma
no_untracked_lift_failure	proof_sketch_only	witness is processed through refinement/preservation inventories	no hidden lift failure class in current inventory	The inventories enumerate source, payload, status, and escape classes; arbitrary completeness remains proof-sketch.	branch_4/90/runtime/family_chain_obstruction_payload_semantics_90.tsv	arbitrary_witness_completeness	higher_support_necessity_recheck
obstruction_status_preserved	proof_sketch_only	recognized source/target payloads have phase2 relation	obstruction status is preserved if layer projection payload preservation holds	Phase2 defines relation/correspondence but does not prove semantic layer projection preservation.	branch_4/90/runtime/family_chain_lift_map_refinement_phase2_skeleton_90.tsv	layer projection payload preservation	family_chain_lift_phase3_if_needed
counterexample_status_preserved_or_reduced	blocked_by_status_preservation	payload preservation or smaller witness relation is available	counterexample status is preserved or reduced	No current artifact proves status preservation or operation-specific smaller-witness construction from non-preservation.	branch_4/90/runtime/family_chain_smaller_witness_construction_90.tsv	status preservation or operation-specific smaller witness construction	family_chain_lift_phase3_if_needed
