sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
existence_of_minimal_witness	proved_under_current_scope	selected limited witness class is nonempty;lexicographic measure is well-founded	minimal witness exists	well-founded finite/current-admissible class has a minimal element	branch_4/90/runtime/minimal_counterexample_measure_90.tsv	full-general admissibility not proved	use_in_limited_skeleton
normalization_preserves_counterexample	proof_sketch_only	runtime canonicalization applies to witness	normal form preserves counterexample status	canonical fingerprints and rowset equality define stable normal form for runtime package	branch_4/90/runtime/minimal_counterexample_witness_normal_form_90.tsv	mathematical equivalence proof	canonicalization_soundness_bridge
support_reduction_or_escape	proof_sketch_only	witness has support coordinate	witness is support<=8 or higher-support escape	support coordinate is first measure coordinate and escape taxonomy names support overflow	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	support bound lemma	formalize_support_bound_after_tail
shell_reduction_or_escape	proved_under_current_scope	witness has shell coordinate	witness is shell15/current-tail or reviewed shell16 boundary escape	shell coordinate routes outside boundary to reviewed shell16 boundary facts and selected limited theorem consumes the reviewed boundary	branch_4/90/runtime/limited_bridge_theorem_proof_steps_90.tsv	full shell/general extension proof	after_family_chain_lift
tail_absorption_or_escape	proved_under_current_scope	witness has tail descriptor	witness absorbed by checked tail or routed to reviewed shell16 boundary escape	checked range is captured by tail theorem and obstruction chain; first shell16 boundary has survivor counts 2/0/0 with local exact nonblocking for theorem-preserving escape and is consumed by selected limited theorem	branch_4/90/runtime/limited_bridge_theorem_proof_steps_90.tsv	full extension absorption beyond selected boundary	after_family_chain_lift
frontier_capture	proof_sketch_only	normalized witness is in selected finite frontier language	witness maps to frontier/candidate row	direct lower-frontier subset is fresh and inventory-only rows are nonblocking	branch_4/90/runtime/lower_frontier_ladder_generation_audit_90.tsv	frontier coverage proof	frontier_ladder_completeness_bridge
family_chain_capture	proved_under_current_scope	bounded family-chain witness language	witness family component is captured by current family package	family-chain theorem and seven lower layers are fresh/current	branch_4/90/runtime/family_chain_lower_layers_fingerprint_90.tsv	general family lift-map correctness beyond bounded scope	family_chain_lift_map_refinement
obstruction_chain_capture	proof_sketch_only	witness captured by finite shell/tail language	obstruction chain closes witness or names exception	tail obstruction chain and completion lock are current verified	branch_4/90/runtime/support8_tail_obstruction_chain_notes_90.md	finite-to-structural interpretation	finite_exhaustion_to_structural_bridge
finite_package_contradiction	proved_under_current_scope	normalized witness lands in current finite package	witness contradicts support8 closure	support8 lock plus survivor-free finite package rejects captured witness	branch_4/90/runtime/current_support8_closure_certificate_90.tsv	none for current finite package	use_in_limited_skeleton
escape_obligations_are_named_and_disjoint	proved_under_current_scope	escape interface trigger conditions are used	every non-captured case has a disjoint named escape	trigger conditions are mutually exclusive by first matched coordinate: tail, shell, support, constructivity, archive, or none	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	exhaustiveness for full general	use_in_limited_skeleton
