sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
canonical_motif_well_defined	proved_under_current_scope	W is in selected support normal form and has finite canonical row data	Canonical motif is a finite object with support, payload, rank, and certificate-role fields	The support normal-form contract gives finite support and canonical row data; the motif notation table records the finite fields used by this operation.	branch_4/90/runtime/canonical_motif_notation_90.tsv	general motif completeness outside selected normal form	use_motif_contract
compressible_motif_condition_well_defined	proved_under_current_scope	Canonical motif M and accepted lower-rank representative M_comp are declared	The compression trigger is well-defined	The condition is a finite contract check: M has an accepted compressed representative, the output rank is lower when support is fixed, and preservation obligations are named.	branch_4/90/runtime/canonical_motif_compression_operation_semantics_90.tsv	completeness of accepted compression relation	use_compression_contract
compressed_motif_well_defined	proved_under_current_scope	Accepted compression relation supplies M_comp	M_comp is defined as the compressed motif	Under the accepted relation, the compressed motif is the representative named by the relation. Failure to supply it is classified as no operation success.	branch_4/90/runtime/canonical_motif_compression_smaller_witness_90.tsv	global soundness of compressed motif	prove_soundness_later
compression_output_well_defined	proved_under_current_scope	M -> M_comp is accepted and rewrite fields have no declared conflict	W_comp = normalize(rewrite(W,M,M_comp)) is a defined candidate	The rewrite substitutes a finite motif component and the normal-form contract supplies a candidate normalized output; conflicts are not silently ignored but routed to named blockers.	branch_4/90/runtime/canonical_motif_compression_operation_semantics_90.tsv	normal-form preservation for arbitrary motifs	prove_normal_form_later
compression_decreases_lexicographic_measure	proved_under_current_scope	Accepted compression has support_after < support_before, or support fixed and motif_rank_after < motif_rank_before	The selected lexicographic support tuple strictly decreases	If support size decreases, the first tuple coordinate decreases. If support size is fixed and earlier coordinates are fixed by the operation precondition, the canonical rank tie-breaker decreases.	branch_4/90/runtime/support_bound_measure_90.tsv;branch_4/90/runtime/canonical_motif_compression_smaller_witness_90.tsv	earlier tuple components fixed by operation preconditions	use_measure_decrease
compression_output_normal_form	proof_sketch_only	normalize(rewrite(W,M,M_comp)) exists	W_comp is in support normal form	Normalization should restore canonical support ordering and row conventions after motif rewrite, but a dedicated preservation proof for arbitrary motif fields is still missing.	branch_4/90/runtime/support_notation_and_normal_form_90.tsv	normal-form preservation under motif rewrite	prove_normal_form_later
compression_preserves_payload_refinement	proof_sketch_only	Motif payload relation is accepted	Compressed witness payload refines source payload	The compressed motif carries a declared payload-refinement relation; this is proof-ready as a motif refinement argument but not completed for arbitrary recognized witnesses.	branch_4/90/runtime/family_chain_payload_refinement_relation_90.tsv	payload-refinement theorem for motif compression	prove_payload_refinement_later
compression_preserves_or_reduces_counterexample_status	blocked_by_counterexample_status	Status transfer or status-reducing theorem is available	Counterexample status is preserved or reduced	The current artifacts define status preservation/reduction language but do not prove that canonical motif compression preserves the counterexample certificate.	branch_4/90/runtime/family_chain_counterexample_status_preservation_theorem_90.tsv	counterexample-status preservation or reduction theorem	prove_status_preservation_theorem
compression_commutes_with_canonicalization	proof_sketch_only	Canonical compression relation is accepted	Compressing and canonicalizing commute up to refinement	The compressed motif is already canonical and lower-rank, so commutation is plausible, but a canonical rewrite commutation proof is still required.	branch_4/90/runtime/family_chain_canonical_lift_soundness_90.tsv	canonical compression commutation sublemma	prove_canonicalization_later
compression_failure_is_named_escape	proved_under_current_scope	Selected operation taxonomy is applied	No compression failure is hidden within this operation target	No accepted compression, no measure decrease, normal-form failure, payload failure, status failure, canonical failure, non-family-chain case, and final higher-support escape are explicitly named.	branch_4/90/runtime/canonical_motif_compression_skeleton_90.tsv	none for selected-operation classification	use_escape_partition
