input_key	statement_summary	current_validation_status	provenance_source	runtime_evidence_path	direct_use_in_tail_bridge	limitations	can_be_used_as_verified_lemma
support8_outside_bounded_tail_pattern_theorem	Checked support7/support8 outside-bounded tail candidates over tail bounds 9..15 have zero theorem-preserving survivors.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_tail_stabilization_certificate_90.tsv	checked_tail_pattern_capture	checked range only;not full monotonicity	1
support8_tail_obstruction_chain_theorem	Shell15 theorem plus tail pattern plus audits validate the tail obstruction chain.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_tail_obstruction_chain_notes_90.md	checked_tail_obstruction_chain_capture	no shell16 regression attempted	1
support8_antecedent15_shell_theorem	Shell15 frontier theorem is current verified and feeds the tail theorem.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_antecedent15_shell_theorem_generation_audit_90.tsv	shell15_tail_boundary_input	shell16 not included	1
support8_authoritative_completion_lock	Current proof-system lock remains support8_authoritative_completion_locked.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/current_support8_closure_certificate_90.tsv	finite_package_contradiction	support8 slice only	1
shell15_frontier_pair_fresh_status	Tail candidates are derived from fresh shell15 frontier candidate universes.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/shell15_frontier_generation_fingerprint_90.tsv	tail_candidate_normal_form	imported 84 retained only fallback/equality oracle	1
lower_frontier_direct_dependency_fresh_status	Direct lower-frontier subset is fresh; inventory-only rows are nonblocking.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/lower_frontier_ladder_generation_audit_90.tsv	frontier_context_for_tail_witness	broader frontier completeness still bridge-level	1
family_chain_lower_layers_7_of_7	Family-chain lower layers are total 7 fresh 7 imported 0.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/family_chain_lower_layers_fingerprint_90.tsv	non_tail_obstruction_context	general family lift still separate	1
minimal_counterexample_reduction_skeleton	Minimal reduction is proof-ready with tail escape open.	proof_ready_skeleton	current_bridge_contract	branch_4/90/runtime/minimal_counterexample_reduction_skeleton_fingerprint_90.tsv	defines_tail_escape_trigger	not completed theorem	1
minimal_counterexample_escape_interface	Tail escape open, shell16 escape after tail bridge, higher support deferred.	current_bridge_contract	current_bridge_contract	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	classifies_extension_tail_witness	full exhaustiveness beyond current scope not proved	1
checked_tail_range_counts	Tail bounds 9..15, shell_count 7, support7/support8 outside-bounded candidates 2/2, survivors 0.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_tail_stabilization_certificate_90.tsv	numeric_checked_tail_absorption	range does not include shell16 scan	1
