obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_absorption_target	dependency_on_family_chain_theorem	dependency_on_self_verification	dependency_on_lower_layers	dependency_on_payload	dependency_on_measure	dependency_on_counterexample_status	dependency_on_higher_support	can_attempt_now	recommended_next_action
family_chain_absorption_status_language_well_defined	Refuted, reduced, absorbed, preserved, named blocker, and higher-support escape are distinct outcomes for absorption.	1	status_preservation_language_90.tsv	none	proved_under_current_scope	no	no	no	no	no	no	no	no	1	use_as_contract
absorption_target_in_family_chain_theorem_scope	The selected target is a bounded target eligible for the current family-chain theorem when payload hypotheses hold.	1	family_chain_support_absorption_90.md;family_chain_absorption_reduction_construction_90.tsv	target applicability to exact payload	proof_sketch_ready	yes	yes	yes	yes	yes	no	possible	no	1	refine_refutation_alignment
absorption_target_validated_by_self_verification	The target object is within the self-verified current-runtime package.	1	family_chain_lower_layers_generation_audit_90.tsv	target identity proof for arbitrary trigger	proved_under_current_scope	yes	possible	yes	yes	no	no	no	no	1	use_current_package
absorption_target_supported_by_lower_layer_7_7	Lower-layer family-chain package has total 7, fresh 7, imported 0, caveat closed.	1	family_chain_lower_layers_fingerprint_90.tsv	none for package availability	proved_under_current_scope	yes	no	yes	yes	no	no	no	no	1	use_current_package
absorption_refutes_lifted_target	Bounded theorem refutes the valid lifted absorption target.	1	family_chain_support_absorption_90.md;limited_bridge_theorem_status_90.tsv	target theorem applicability to aligned payload	proof_sketch_ready	yes	yes	yes	yes	yes	no	possible	no	1	refine_refutation_alignment
lifted_target_refutation_refutes_source_counterexample	Lifted target refutation refutes the source counterexample only when source and target payload/status are aligned.	1	family_chain_absorption_refutation_lemma_90.tsv	source-target payload/status alignment	needs_payload_sublemma	yes	yes	possible	possible	yes	no	yes	no	1	project_to_active_status_locality_refinement
absorption_reduces_to_smaller_witness_when_refutation_not_direct	Residual branch can be a smaller witness only after payload/status transfer and strict measure decrease.	1	family_chain_absorption_reduction_construction_90.tsv	measure decrease;status transfer	proof_sketch_ready	yes	possible	no	possible	yes	yes	yes	no	1	refine_residual_measure
absorption_measure_decrease_for_smaller_witness_branch	Residual absorption output strictly decreases support/canonical/depth lexicographic measure.	1	support_bound_measure_90.md;family_chain_absorption_measure_decrease_90.tsv	normalized residual strict-decrease proof	needs_measure_sublemma	yes	no	no	possible	no	yes	no	no	1	project_to_active_status_locality_refinement
absorption_preserves_relevant_payload	Absorption target or residual output preserves/refines the payload needed for status transfer.	1	family_chain_payload_refinement_relation_90.tsv;family_chain_absorption_reduction_construction_90.tsv	absorption-specific payload transfer	needs_payload_sublemma	yes	possible	possible	possible	yes	possible	yes	no	1	project_to_active_status_locality_refinement
absorption_status_failure_is_named_escape	Failure of applicability, payload, status, or measure is routed to a named operation blocker or deferred higher-support escape.	1	higher_support_escape_interface_90.tsv;operation_open_vs_higher_support_required_90.tsv	higher-support bound after operation proofs	proof_sketch_ready	possible	possible	possible	possible	possible	possible	possible	yes	1	higher_support_necessity_recheck_after_operation_refinements
no_hidden_absorption_status_failure_case	The status taxonomy covers refutation, residual reduction, named blocker, and higher-support escape.	1	family_chain_absorption_status_semantics_90.tsv;status_preservation_congruence_skeleton_90.tsv	arbitrary-witness completeness proof	proof_sketch_ready	possible	possible	possible	possible	possible	possible	possible	yes	1	higher_support_necessity_recheck_after_operation_refinements
