audit_gate_key	description	required_for_preflight	required_for_full_attempt	pass_condition	failure_action	current_status
compile_gate	release_compile_and_LOCAL_TEST_compile_must_remain_verified	1	1	release_and_LOCAL_TEST_compile_pass	stop_and_report_first_failing_compile_gate	contract_ready
LOCAL_TEST_gate	pass1_pass2_pass3_must_keep_support8_authoritative_completion_locked	1	1	all_three_passes_locked	stop_and_report_support8_lock_regression	contract_ready
preflight_artifact_materialization_gate	preflight_contract_tsvs_must_exist_and_be_nonempty	1	1	shell16_preflight_contract_files_nonempty	stop_before_attempt	contract_ready
stale_artifact_detection_gate	future_shell16_artifacts_must_match_current_code_and_declared_builder	1	1	source_fingerprint_and_constructor_fingerprint_match	stop_and_mark_stale_artifact	contract_ready
fallback_hit_visibility_gate	future_shell16_attempt_must_report_fallback_reachable_and_fallback_hit	1	1	fallback_hit_visible_and_zero_for_successful_current_path	stop_and_report_fallback_hit	contract_ready
no_theorem_promotion_gate	preflight_must_not_promote_shell16_theorem_or_survivor_zero_claim	1	1	theorem_promotion_allowed_0_until_actual_attempt	stop_and_revert_shell16_theorem_claim	guard_active
tail_bridge_update_gate	future_shell16_outcome_must_update_tail_bridge_and_minimal_escape_rows	1	1	tail_and_minimal_escape_status_updated_truthfully	stop_and_report_stale_bridge_status	contract_ready
next_action_decision_gate	next_action_matrix_must_recompute_after_preflight_or_attempt	1	1	top_recommendation_matches_current_blocker	stop_and_report_stale_next_action	contract_ready
cost_cap_gate	future_shell16_attempt_must_define_timeout_or_cost_cap_before_scan	1	1	cost_cap_declared_before_expensive_scan	stop_before_full_attempt	contract_ready
shell16_not_attempted_guard	current_preflight_round_must_record_shell16_scan_executed_0	1	0	full_scan_executed_0_and_survivor_claim_allowed_0	stop_if_scan_result_is_implied	guard_active
