obligation_key	statement	required_for_selected_operation	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_motif_notation	dependency_on_measure	dependency_on_normal_form	dependency_on_payload_refinement	dependency_on_counterexample_status	dependency_on_canonicalization	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
canonical_motif_well_defined	Canonical motif is a finite canonical row plus payload/certificate roles in the selected support witness normal form.	1	canonical_motif_notation_90.tsv;support_notation_and_normal_form_90.tsv	general motif completeness outside contract	proved_under_current_scope	yes	no	no	possible	possible	yes	possible	no	1	use_motif_contract
compressible_motif_condition_well_defined	Compressible motif means an accepted lower-rank canonical representative satisfying declared preservation preconditions.	1	canonical_motif_compression_operation_semantics_90.tsv	completeness of compression relation	proved_under_current_scope	yes	yes	no	possible	possible	yes	possible	no	1	use_compression_contract
compressed_motif_well_defined	Accepted compression relation determines a lower-rank compressed motif.	1	canonical_motif_compression_smaller_witness_90.tsv	global soundness of reduced motif	proved_under_current_scope	yes	yes	no	possible	possible	yes	possible	no	1	use_compressed_motif
compression_output_well_defined	Rewriting the motif and normalizing gives a defined output witness candidate.	1	canonical_motif_compression_operation_semantics_90.tsv	normal-form preservation for arbitrary motif rewrite	proved_under_current_scope	yes	possible	yes	possible	possible	yes	possible	no	1	prove_normal_form_later
compression_output_normal_form	The compressed witness remains in selected support witness normal form.	1	support_notation_and_normal_form_90.tsv	normal-form preservation under motif rewrite	proof_sketch_ready	yes	no	yes	possible	possible	yes	possible	no	1	prove_normal_form_later
compression_decreases_lexicographic_measure	Accepted compression strictly decreases support tuple by support-size decrease or fixed-support canonical-rank decrease.	1	support_bound_measure_90.tsv;canonical_motif_compression_smaller_witness_90.tsv	earlier lexicographic components fixed by operation preconditions	proved_under_current_scope	yes	yes	possible	no	no	yes	possible	no	1	use_measure_decrease
compression_preserves_payload_refinement	Compressed motif payload refines source motif payload under motif-refinement precondition.	1	family_chain_payload_refinement_relation_90.tsv	payload refinement theorem for arbitrary recognized motif compression	proof_sketch_ready	yes	possible	possible	yes	possible	yes	yes	no	1	prove_payload_refinement_later
compression_preserves_or_reduces_counterexample_status	Compression preserves counterexample status or yields a smaller status-refuting witness.	1	family_chain_counterexample_status_preservation_theorem_90.tsv	counterexample-status preservation or reduction theorem	needs_counterexample_status_sublemma	yes	yes	possible	yes	yes	yes	yes	possible	1	prove_status_preservation_theorem
compression_commutes_with_canonicalization	Compressing canonical motif then normalizing agrees with canonicalizing then compressing up to refinement.	1	family_chain_canonical_lift_soundness_90.tsv	canonical compression commutation proof	proof_sketch_ready	yes	possible	possible	possible	possible	yes	possible	no	1	prove_canonicalization_later
compression_respects_family_chain_source_form	Recognized family-chain source form remains recognized or failure is named.	1	family_chain_source_form_recognizer_90.tsv;family_chain_lift_phase3_skeleton_90.tsv	source-form preservation under motif compression	proof_sketch_ready	yes	possible	possible	yes	possible	yes	yes	possible	1	prove_family_chain_absorption_or_source_form_later
compression_failure_is_named_escape	No accepted compression, no decrease, or failed preservation is named as no-op, blocker, remaining operation, or higher-support escape.	1	higher_support_escape_interface_90.tsv	none for classification	proved_under_current_scope	yes	possible	no	no	no	possible	possible	yes	1	use_escape_partition
no_hidden_compression_failure_case	Within the selected operation, every compression failure is classified.	1	canonical_motif_compression_skeleton_90.tsv	arbitrary support-growth operation-selection completeness	proof_sketch_ready	yes	possible	possible	possible	possible	possible	possible	yes	1	higher_support_necessity_recheck
