escape_key	trigger_condition	support_threshold	witness_form	corresponding_missing_obligation	current_status	next_recommended_action	blocks_limited_theorem	blocks_broader_general_theorem	blocks_full_general_theorem
recognized_family_chain_payload_preservation_open	Recognizer accepts and refined lift payload is well-defined, but semantic layerwise payload preservation is not proved.	>8	recognized lifted family-chain payload	obstruction_payload_preserved	payload_preservation_open	family_chain_lift_phase3_if_needed	0	1	1
recognized_family_chain_status_preservation_open	Payload/status semantics do not prove counterexample preservation or operation-specific smaller witness.	>8	recognized lifted family-chain counterexample status	counterexample_status_preserved_or_reduced	status_preservation_open	family_chain_lift_phase3_if_needed	0	1	1
recognized_family_chain_layerwise_refinement_open	Phase2 relation is defined but layer projection payload-preservation and canonical lift soundness are not proved.	>8	recognized source-target payload correspondence	payload_refinement_holds_layerwise	phase2_relation_open	family_chain_lift_phase3_if_needed	0	1	1
recognized_family_chain_smaller_witness_operation_open	Counterexample status is not directly preserved and operation-specific smaller-witness construction is not proved.	>8	recognized family-chain failed-preservation witness	failed_counterexample_preservation_constructs_smaller_witness	smaller_witness_operation_open	prove_support_reduction_operation_sublemma	0	1	1
support_gt_8_no_reduction	Normalized witness has support>8 and no declared support-reduction operation preservation proof applies.	>8	support normal form with positive support_outside_8_distance	support_reduction_operation_preservation	partition_ready_escape_open	prove_support_reduction_operation_sublemma	0	1	1
family_chain_language_extension_needed	Family component is present but outside current bounded family-chain layer language.	>8	family-chain component beyond bounded target language	family_chain_language_extension	classified_escape	higher_support_necessity_recheck	0	1	1
unrecognized_family_chain_source	Support-growth witness lacks required family-chain source-form fields.	>8	unrecognized support-growth family witness	recognizer_completeness_or_higher_support_bound	classified_escape	higher_support_necessity_recheck	0	1	1
support_gt_8_frontier_uncovered	Support>8 witness is not represented by current support8 frontier/shell/tail package.	>8	frontier rank outside support8 language	higher_support_bound	open_escape	higher_support_necessity_recheck	0	1	1
support_gt_8_tail_or_shell_uncovered	Support>8 witness also requires unproved tail or shell generalization.	>8	shell/tail extension normal form	full_tail_or_shell_generalization	named_parallel_escape	prove_or_refine_tail_absorption_step	0	1	1
support_le_8_handled	Witness has support<=8 and selected theorem assumptions hold.	<=8	selected support8 normal form	none	handled_by_limited_bridge_theorem	use_limited_bridge_theorem	0	0	0
