construction_step	input_component	compressible_motif	compressed_motif	output_component	compression_rule	support_before	support_after	motif_rank_before	motif_rank_after	support_measure_delta	canonical_measure_delta	normal_form_preserved	payload_relation_preserved	counterexample_status_preserved	counterexample_status_reduced	failure_condition	failure_escape	missing_sublemma	current_status
select_input	W normal support witness	not_selected	not_selected	W	none	k	not_applicable	r	not_applicable	none	none	yes	source payload present	source status present	no reduction	no witness or not normal	out_of_scope_for_operation	input normal-form theorem	proved_under_current_scope
detect_compressible_motif	W canonical motif M	M accepted compressible	not_selected	W	recognize lower-rank representative	k	k_or_less	r	r_comp_candidate	nonpositive	negative if accepted	not_applicable	payload relation precondition	status not checked	status not reduced	no accepted compression row	route_to_next_operation_or_escape	compressible motif completeness	proved_under_current_scope
construct_compressed_motif	M	M compressible	M_comp lower-rank	M_comp	canonical rewrite relation	k	k_or_less	r	r_comp	nonpositive	negative	proof_sketch_ready	payload refinement precondition	status open	status reduction open	invalid M_comp	motif_compression_blocker	compressed motif soundness	proved_under_current_scope
rewrite_witness	W with M	M	M_comp	W_raw	replace M by M_comp and push motif-local fields	k	k_or_less	r	r_comp	nonpositive	negative	proof_sketch_ready	proof_sketch_ready	blocked_by_counterexample_status	possible	conflicting motif fields	payload_or_status_blocker	payload and status transfer sublemmas	proof_sketch_only
normalize_output	W_raw	M	M_comp	W_comp	normalize(rewrite(W,M,M_comp))	k	k_comp<=k	r	r_comp_or_lower	nonpositive	negative if support unchanged	proof_sketch_ready	proof_sketch_ready	blocked_by_counterexample_status	possible	normalization not defined	normal_form_blocker	normal-form preservation under motif rewrite	proof_sketch_only
support_decrease_case	W_comp	M	M_comp	W_comp	compression removes support atoms	k	k_comp<k	r	any	negative	negative_or_not_needed	proof_sketch_ready	proof_sketch_ready	blocked_by_counterexample_status	possible	support does not decrease	use_rank_decrease_case	or status preservation	proved_under_current_scope
rank_decrease_case	W_comp	M	M_comp	W_comp	support fixed but rank lowers	k	k	r	r_comp<r	zero	negative	proof_sketch_ready	proof_sketch_ready	blocked_by_counterexample_status	possible	rank not lower	not_a_compression	earlier lexicographic components fixed	proved_under_current_scope
no_decrease_case	W	M	no lower-rank motif	W	noop	k	k	r	r	zero	zero	yes	no_new_payload_relation	no	no	no accepted lower-rank motif	route_to_family_chain_absorption_or_escape	operation-selection completeness	proved_under_current_scope_as_noop
status_failure_case	W_comp	M	M_comp	W_comp	compression candidate exists	k	k_comp<=k	r	r_comp<=r	nonpositive	nonpositive	proof_sketch_ready	proof_sketch_ready	blocked_by_counterexample_status	blocked_by_counterexample_status	status certificate not preserved	named_status_blocker_or_higher_support_escape	counterexample-status preservation theorem	blocked_by_counterexample_status
final_status	canonical motif compression construction	M -> M_comp accepted	lower-rank motif	W_comp	normalize(rewrite(W,M,M_comp))	k	k_comp<=k	r	r_comp<r if support fixed	negative if support drops	negative if support fixed	proof_sketch_ready	proof_sketch_ready	blocked_by_counterexample_status	possible	no accepted compression or status proof	named blocker or later higher-support escape	counterexample-status preservation;normal-form and payload proof	canonical_motif_compression_smaller_witness_lex_measure_proved_status_open
