escape_key	trigger_condition	witness_form	operation_status	currently_reducible	reducible_if_operation_proof_closes	family_chain_absorbable	frontier_tail_capturable	higher_support_required	current_classification	evidence_path	next_action
delete_redundant_case	redundant coordinate unused by payload/certificate	support>8 normal witness with redundant support coordinate	proof_ready_skeleton_selected_operation	1	0	0	0	0	reducible_by_ready_operation	branch_4/90/runtime/support_reduction_selected_operation_skeleton_90.tsv	use_as_closed_selected_case
project_to_active_status_locality_open	active support is strict subset and status skeleton is proof-ready but locality is open	support>8 normal witness with inactive support	partial_project_to_active_status_proof_ready_locality_open	0	1	0	0	0	reducible_if_status_locality_proof_closes	branch_4/90/runtime/project_to_active_status_skeleton_90.tsv	project_to_active_status_locality_refinement
coordinate_contraction_status_congruence_open	nontrivial equivalent coordinate class but quotient status congruence is not proved	support>8 normal witness with equivalent coordinates	partial_contract_equivalent_status_proof_ready_congruence_open	0	1	0	0	0	reducible_if_status_congruence_proof_closes	branch_4/90/runtime/contract_equivalent_status_skeleton_90.tsv	canonical_compression_status_preservation
canonical_compression_status_open	compressible motif lowers lexicographic measure but status preservation is not proved	support>8 normal witness with compressible canonical motif	partial_compression_proved_escape_open	0	1	0	0	0	reducible_if_status_proof_closes	branch_4/90/runtime/canonical_motif_compression_skeleton_90.tsv	canonical_compression_status_preservation
family_chain_absorption_residual_open	recognized absorption trigger has fresh target but residual measure/status branch is open	support>8 family-chain absorption witness	partial_absorption_reduction_proved_escape_open	0	1	possible	0	0	unknown_due_to_missing_operation_proof	branch_4/90/runtime/family_chain_absorption_reduction_skeleton_90.tsv	family_chain_absorption_status_preservation
family_chain_contradiction_branch	recognized family-chain target and payload/status alignment assumptions hold	recognized family-chain obstruction branch	conditional_absorption_contradiction	possible	0	1	0	0	family_chain_absorbed_or_refuted_if_alignment_proves	branch_4/90/runtime/family_chain_absorption_reduction_construction_90.tsv	family_chain_absorption_status_preservation
frontier_capture_after_reduction	valid operation reduces witness to support<=8 frontier language	reduced support<=8 frontier witness	proved_under_current_scope_after_valid_reduction	1	0	0	1	0	frontier_tail_captured	branch_4/90/runtime/limited_bridge_theorem_status_90.tsv	use_after_reduction
tail_obstruction_after_reduction	valid operation reduces witness to checked support8 tail language	reduced support<=8 tail witness	proved_under_current_scope_after_valid_reduction	1	0	0	1	0	frontier_tail_captured	branch_4/90/runtime/limited_bridge_theorem_status_90.tsv	use_after_reduction
irreducible_no_operation_closes	all declared operations fail or remain inapplicable after proofs close	support>8 normal witness with no reducible structure	classified_as_escape	0	0	0	0	possible	irreducible_but_named_higher_support_escape	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher_support_bound_formalization_after_operation_proofs
unrecognized_family_chain_source	family component is outside current recognizer/source language	unrecognized support-growth family witness	classified_escape	0	0	0	0	possible	unknown_due_to_missing_operation_or_recognizer_proof	branch_4/90/runtime/family_chain_operation_specific_smaller_witness_90.tsv	canonical_compression_status_preservation
