metric	value
lemma_name	payload_refinement_or_higher_support_escape
exact_statement	Recognized family-chain source-form payloads have a defined source-target refinement relation; preservation is conditional on layerwise/canonical proofs, while status non-preservation requires a smaller witness or named escape.
assumption_count	10
conclusion	Phase2 relation and recognized correspondence are current-scope proved; semantic layerwise preservation and smaller-witness construction remain open.
payload_refinement_relation	layerwise_payload_refinement
payload_refinement_relation_status	payload_refinement_relation_proof_ready_skeleton
source_target_payload_correspondence_status	source_target_correspondence_proof_ready_skeleton
smaller_witness_construction_status	smaller_witness_construction_proof_ready_but_operation_blocked
verified_inputs_used	family_chain_refined_lift_map_90.tsv;family_chain_obstruction_payload_semantics_90.tsv;family_chain_counterexample_status_preservation_90.tsv;family_chain_smaller_witness_construction_90.tsv;support_bound_measure_90.tsv
phase2_obligation_count	11
proved_under_current_scope_sublemma_count	4
proof_sketch_only_sublemma_count	5
blocked_sublemma_count	1
case_split	exact_payload_equality;payload_refinement_with_obstruction_preservation;counterexample_status_preserved;counterexample_status_reduced_to_smaller_witness;refinement_failure_escape;out_of_scope_non_family_chain_case
missing_steps	layer projection payload preservation;canonical lift soundness;counterexample status preservation theorem;operation-specific smaller witness construction
exact_caveat	full_general_theorem_not_proved_and_arbitrary_support_growth_lift_not_proved
final_status	partial_phase2_proved_escape_open
next_blocker	family_chain_lift_phase3_if_needed
