metric	value
selected_scope	higher_support_deferred_due_to_operation_proofs_open
support_gt8_escape_inventory_status	support_gt8_escape_inventory_reclassified_operation_open
operation_vs_higher_support_status	operation_open_dominates_higher_support_deferred
higher_support_bound_candidate_count	5
scan_preflight_label	scan_not_recommended_yet
limited_to_broader_impact_status	limited_to_broader_blocked_by_operation_proofs_not_higher_support_scan
support_bound_skeleton_status	proof_ready_skeleton_higher_support_deferred_operation_proofs_open
support_reduction_skeleton_status	partition_ready_higher_support_deferred_operation_proofs_open
higher_support_final_label	higher_support_deferred_due_to_operation_proofs_open
general_theorem_readiness	ready_for_prove_next_support_reduction_operation_sublemma
next_action_first	prove_next_support_reduction_operation_sublemma
next_action_second	limited_to_broader_generalization_plan
next_action_third	higher_support_bound_formalization
