relation_key	definition	source_side	target_side	canonicalization_rule	implies_obstruction_preservation	implies_counterexample_preservation	implies_smaller_witness	failure_effect	current_status
source_payload	Recognized source obstruction descriptor carried by the source-form witness.	source_obstruction_payload	not_applicable	source canonical motif key fixes descriptor	no_direct	no_direct	no_direct	payload_not_well_defined	proved_under_current_scope
target_payload	Lifted obstruction descriptor attached to the target family-chain object.	not_applicable	target_lifted_payload	target canonical family-chain row fixes descriptor	no_direct	no_direct	no_direct	target_payload_not_well_defined	proved_under_current_scope
exact_payload_equality	Source and target payload descriptors are identical after canonical lift.	source descriptor	target descriptor	source and target canonical keys commute	yes	yes	no	equality_failure_routes_to_refinement	proof_sketch_ready
layerwise_payload_refinement	Each source payload component maps to a target layer component with equal or declared refining obstruction descriptor.	layer components in recognized source	pair52/triple53/quad55/quint57/sext57/sept57/high57 target components	component canonicalization before composition	yes	conditional	no	refinement_failure_named_escape	proof_ready_skeleton
canonical_quotient_refinement	Source and target payloads agree after quotienting by canonical row equality.	source canonical class	target canonical row class	canonicalization_commutes_with_lift required	yes	conditional	no	canonicalization_blocker	proof_sketch_ready
witness_preserving_refinement	Refinement preserves the witness object needed by the obstruction argument.	source witness payload	target lifted witness payload	witness key stable across lift	yes	conditional	no	witness_preservation_blocker	proof_sketch_ready
obstruction_preserving_refinement	Refinement preserves the obstruction predicate used by family-chain absorption.	source obstruction predicate	target obstruction predicate	payload relation implies predicate preservation	yes	conditional	no	obstruction_preservation_blocker	proof_sketch_ready
counterexample_preserving_refinement	Refinement preserves counterexample status after lift.	source counterexample status	target lifted status	status relation is invariant under refinement	yes	yes	no	status_preservation_blocker	blocked_by_status_preservation
counterexample_reducing_refinement	When status is not preserved, refinement supplies a smaller witness under the support measure.	source failed-preservation status	reduced witness payload	measure witness canonicalized after construction	no	no	yes	smaller_witness_blocker	blocked_by_smaller_witness
refinement_failure	No equality, quotient, preservation, or reducing refinement is currently proved.	source payload mismatch or missing semantic proof	target mismatch or missing target proof	not_applicable	no	no	no	higher_support_or_named_payload_blocker	classified_escape_open
final_status	Phase2 relation language is defined; semantic preservation is not fully proved.	recognized source payload	lifted target payload	layerwise refinement selected	conditional	conditional	conditional	next_phase_or_escape	payload_refinement_relation_proof_ready_skeleton
