metric	value
target_statement_count	3
bridge_obligation_count	10
satisfied_current_verified_obligation_count	1
partially_satisfied_obligation_count	4
project_to_active_status	proof_ready_skeleton_project_to_active_status_locality_open
coordinate_contraction_status	proof_ready_skeleton_contract_equivalent_status_congruence_open
canonical_compression_status	proof_ready_skeleton_canonical_compression_status_congruence_open
family_chain_absorption_status	proof_ready_skeleton_family_chain_absorption_status_refutation_measure_open
status_congruence_status	partial_status_congruence_all_primary_operations_proof_ready_residual_congruence_open
support_bound_lemma_status	proof_ready_skeleton_all_primary_operations_status_proof_ready_residual_congruence_open
support_reduction_step_status	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open
higher_support_necessity_status	higher_support_deferred_after_family_chain_absorption_status_refutation_measure_open
general_theorem_readiness_label	ready_for_project_to_active_status_locality_refinement
next_action_first	project_to_active_status_locality_refinement
next_action_second	contract_equivalent_status_congruence_refinement
next_action_third	canonical_compression_status_congruence_refinement
fingerprint	3|10|1|4|all_primary_status_proof_ready|project_to_active_status_locality_refinement
