metric	value
selected_operation	project_to_active_support
active_support_status	active_support_notation_contract_ready
semantics_status	project_to_active_semantics_contract_ready
smaller_witness_status	project_to_active_smaller_witness_measure_proved_status_preservation_open
obligation_count	11
proved_under_current_scope_sublemma_count	5
proof_sketch_only_sublemma_count	5
blocked_sublemma_count	1
final_status	partial_project_to_active_proved_escape_open
next_target	prove_next_support_reduction_operation_sublemma
fingerprint	project_to_active_support|active_support_contract|5|5|1|partial_project_to_active_proved_escape_open
