metric	value
lemma_name	support_minimal_counterexample_reduces_to_support8_or_escape
exact_statement	A support-minimal normal broader counterexample either has support<=8 and is handled by the limited bridge theorem, or its support>8 branch is partitioned into reducible, recognized family-chain phase2 refinement, named escape, or irreducible higher-support cases.
assumption_count	10
verified_input_count	10
support_normal_form	support_size_canonical_schema_shell_tail_frontier_family_escape
support_measure	lexicographic_support_tuple
family_chain_lift_status	partial_lift_phase2_relation_ready_status_open
obstruction_preservation_status	partial_preservation_phase2_relation_ready_status_open
proof_outline_step_count	11
current_verified_step_count	5
proof_sketch_step_count	5
blocked_step_count	1
case_split	support_le_8;support_gt_8_reducible;recognized_family_chain_phase2_refinement;semantic_preservation_or_smaller_witness_open;irreducible_higher_support_escape
limited_bridge_application	support_le_8_case_after_normalization
missing_steps	layer projection payload preservation;counterexample status preservation;operation-specific smaller witness construction;higher-support bound for escape closure
exact_caveat	full_general_theorem_not_proved_and_support8_sufficiency_not_proved
final_status	proof_ready_skeleton_phase2_relation_ready_operation_open
next_blocker	family_chain_lift_phase3_if_needed
