obligation_key	statement	required_for_support_reduction	existing_inputs	missing_sublemmas	proof_status	dependency_on_family_chain_lift	dependency_on_higher_support	dependency_on_BOJ	can_attempt_now	recommended_next_action
support_gt8_witness_has_reduction_candidate	Support>8 witness has a reducible, payload-preservation, frontier/tail, status-classified blocker, or deferred escape branch.	1	support_gt8_witness_anatomy_90.tsv;status_preservation_congruence_skeleton_90.tsv;higher_support_necessity_recheck_scope_inventory_90.tsv	arbitrary witness completeness proof	proof_sketch_ready	possible	deferred	no	1	prove_next_support_reduction_operation_sublemma
reduction_operation_preserves_normal_form	Declared reduction operations preserve normal form.	1	support_reduction_operations_90.tsv;operation skeletons through absorption	normal-form preservation for active projection, quotient, motif rewrite, and absorption residual	proof_sketch_ready_status_classified	no	no	no	1	prove_next_support_reduction_operation_sublemma
reduction_operation_preserves_counterexample_or_creates_smaller_counterexample	Reduction operation preserves counterexample status, reduces status, refutes the branch, or names blocker/escape.	1	status_preservation_congruence_skeleton_90.tsv;support_reduction_operation_status_table_90.tsv	project-to-active locality;equivalent-coordinate status congruence;canonical-motif status congruence;family-chain absorption source-target alignment;residual absorption measure	partial_status_congruence_all_primary_operations_proof_ready_residual_congruence_open	no	deferred	no	1	project_to_active_status_locality_refinement
support_measure_strictly_decreases	Valid reduction status strictly decreases support tuple; refutation/absorption may close without smaller witness.	1	support_bound_measure_90.tsv;status_preservation_language_90.tsv	strict decrease proof for absorption residual branch	proof_ready_measure_guard_status_classified	no	no	no	1	prove_next_support_reduction_operation_sublemma
family_chain_case_absorbed_or_reduced	Recognized family-chain branch is status-classified as absorbed, refuted, reduced, named blocker, or deferred higher-support escape.	1	family_chain_absorption_status_skeleton_90.tsv;status_preservation_congruence_skeleton_90.tsv	residual absorption measure;source-target payload/status theorem alignment	proof_ready_skeleton_family_chain_absorption_status_refutation_measure_open	yes	deferred	no	1	project_to_active_status_locality_refinement
frontier_capture_after_reduction	Support<=8 reduction output is captured by frontier/limited theorem input.	1	limited_bridge_theorem_status_90.tsv	none after valid reduction	proved_under_current_scope	no	no	no	1	use_after_reduction
tail_obstruction_after_reduction	Support<=8 reduction output is captured by checked tail theorem input.	1	limited_bridge_theorem_status_90.tsv	none after valid reduction	proved_under_current_scope	no	no	no	1	use_after_reduction
irreducible_case_is_higher_support_escape	Irreducible support>8 case after operation proofs close is classified as higher_support_escape candidate.	1	higher_support_escape_interface_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope_as_partition	possible	yes_deferred	no	1	higher_support_bound_formalization_after_operation_proofs
no_hidden_fourth_case	The selected partition has only reducible, status-classified blocker/refutation, frontier/tail, and deferred higher-support escape branches.	1	support_reduction_step_scope_inventory_90.tsv;status_preservation_congruence_skeleton_90.tsv	completeness proof for arbitrary witnesses	proof_sketch_ready	possible	deferred	possible	1	prove_next_support_reduction_operation_sublemma
limited_bridge_applies_after_reduction	Reduced support<=8 witness satisfies selected limited bridge input contract.	1	limited_bridge_theorem_input_ledger_90.tsv	normal-form transfer from operation output	proof_sketch_ready	no	no	no	1	prove_next_support_reduction_operation_sublemma
iteration_terminates	Repeated strict support-measure decreases terminate.	1	support_bound_measure_90.tsv;status_preservation_language_90.tsv	strict decrease for absorption residual branch	proved_under_current_scope	no	no	no	1	prove_next_support_reduction_operation_sublemma
