recognizer_component	input_field	required_condition	target_family_chain_component	check_rule	success_effect	failure_effect	corresponding_escape	current_status	caveat
support_growth_branch_tag	support_reduction_partition_tag	tag equals family_chain_lift_branch	family_chain_obstruction_object	check partition tag before lift	enter recognizer	return not_in_family_chain_case	not_in_family_chain_case	proved_under_current_scope	Uses current partition contract, not a full general theorem.
support_normal_form_fields	support_size;canonical_support;active_support	support>8 and normal-form fields present	source_family_signature	check required support-normal-form columns	build source signature	higher_support_escape_due_to_unrecognized_source	higher_support_escape_due_to_unrecognized_source	proof_sketch_ready	Normal-form preservation remains separate.
family_signature_fields	family_count;family_depth;active_family_components	family components are bounded-layer addressable	target layer selector	check family_count in pair/triple/quad/quint/sext/sept/high routing domain	choose target layer	requires_family_chain_language_extension	requires_family_chain_language_extension	proof_sketch_ready	Completeness for arbitrary witnesses is not proved.
pair_compatibility	pair component	pair component matches pair52 bounded region schema	pair_expansion_layer	check pair arity and region key	allow pair52 projection	higher_support_escape_due_to_unrecognized_source	higher_support_escape_due_to_unrecognized_source	proof_sketch_ready	Pair schema soundness is conditional on row equivalence.
triple_quad_quint_compatibility	depth 3/4/5 component	component matches 53/55/57 bounded layer language	triple_family_layer;quadruple_family_layer;quintuple_family_layer	check depth-specific layer key	allow depth map	requires_family_chain_language_extension	requires_family_chain_language_extension	proof_sketch_ready	Layer target freshness is verified; source recognition is proof-ready.
sext_sept_high_compatibility	depth >=6 component	component routes to sextuple/septuple/high57 language	sextuple_family_layer;septuple_family_layer;high_family_layer	check high-family aggregate eligibility	allow high-family route	requires_family_chain_language_extension	requires_family_chain_language_extension	proof_sketch_ready	Does not scan support9+.
canonical_motif_compatibility	canonical_motif_row	source motif canonicalization is compatible with target row canonicalization	canonical_lift_row	check motif key and canonical row equality requirement	allow canonical lift	higher_support_escape_due_to_canonicalization_gap	higher_support_escape_due_to_canonicalization_gap	proof_sketch_ready	Mathematical equivalence proof remains open.
frontier_shell_tail_compatibility	frontier_shell_tail_part	component does not require untracked shell/tail extension	bounded target object	check no untracked shell/tail dependency	allow lift side-condition	untracked_shell_tail_escape	support_gt_8_tail_or_shell_uncovered	proof_sketch_ready	Full tail monotonicity is not claimed.
obstruction_payload_compatibility	obstruction_payload	payload has target-compatible obstruction descriptor	family-chain theorem object	check payload compatibility obligation	allow preservation attempt	obstruction_preservation_blocker	named_obstruction_preservation_blocker	blocked_by_obstruction_preservation	This is the main remaining proof blocker.
recognizer_success	assembled source fields	all required checks pass	refined_lift_source_form	conjunction of component checks	refined lift map is defined	no success state	none	proof_ready_skeleton	Success is only for recognized source forms.
recognizer_failure	any required check fails	failure is classified by first failing component	escape interface	deterministic failure routing	no lift claim	named escape row emitted	higher_support_or_named_escape	proved_under_current_scope_as_partition	Partition names the case but does not close it.
