obligation_key	statement	needed_for_checked_tail_absorption	needed_for_bounded_tail_extension_absorption	needed_for_full_tail_monotonicity	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_shell16	dependency_on_higher_support	dependency_on_minimal_counterexample	can_attempt_now	recommended_next_action
checked_tail_pattern_capture	Checked range tail witness is captured by current outside-bounded tail pattern theorem.	1	1	1	support8_tail_stabilization_certificate_90.tsv	none inside checked range	current_verified	no	no	yes	1	use_as_checked_capture_input
checked_tail_obstruction_chain_capture	Checked range obstruction witness is captured by current tail obstruction chain theorem.	1	1	1	support8_tail_obstruction_chain_notes_90.md	none inside checked range	current_verified	no	no	yes	1	use_as_checked_obstruction_input
extension_tail_normalization	Unchecked extension tail witness can be expressed in the tail normal-form language.	0	1	1	tail_witness_normal_form_90.tsv	full extension equivalence proof	proof_sketch_ready	possible	no	yes	1	shell16_attempt
tail_absorption_step	One extension tail witness can be folded to a shorter or checked equivalent witness.	0	1	1	checked tail pattern theorem	actual absorption step	needs_new_bridge_lemma	possible	no	yes	1	prove_or_refine_tail_absorption_step
tail_measure_decreases	The chosen tail measure decreases under a valid absorption step.	0	1	1	tail_monotonicity_measure_90.tsv	absorption step that decreases distance	needs_new_bridge_lemma	possible	no	yes	1	prove_or_refine_tail_absorption_step
absorption_preserves_counterexample_status	Absorbing the tail preserves counterexample status or creates a smaller counterexample.	0	1	1	minimal counterexample normal form	status preservation under absorption	needs_new_bridge_lemma	possible	no	yes	1	prove_or_refine_tail_absorption_step
no_new_survivor_under_tail_extension	Tail extension does not introduce plus-one or theorem-preserving survivor at the first shell16 boundary.	0	1	1	checked survivor counts are zero for 9..15;shell16 reviewed attempt has local/plus-one/theorem-preserving survivors 2/0/0	general extension absorption beyond first boundary still missing	closed_for_limited_bridge_theorem	review	no	yes	1	after_family_chain_lift
outside_bounded_stability	Outside-bounded classification remains stable under checked tail capture and named extension routing.	1	1	1	tail candidate fingerprints;shell15 frontier pair;shell16 promoted boundary facts;shell16 outside-bounded count 4	general stability beyond first extension	closed_for_limited_bridge_theorem	review	no	yes	1	after_family_chain_lift
shell16_escape_disjointness	When absorption is unavailable beyond checked range, the first extension witness is shell16 escape and disjoint from checked capture.	0	1	1	minimal escape interface;tail scope memo;shell16 preflight scope memo	none for taxonomy under current scope	derivable_now	yes	no	yes	1	use_shell16_attempt_protocol
tail_escape_closes_minimal_reduction_blocker	This bridge closes checked tail escape and reclassifies extension tail escape as reviewed shell16 boundary fact or absorption-step obligation.	1	1	1	minimal reduction skeleton;tail bridge inventory;shell16 promotion review	full extension absorption still missing	closed_for_limited_bridge_theorem	review	possible	yes	1	after_family_chain_lift
