n=9 constraints={(1,2->1) (2,3->1) (2,3->2)}	n=9 constraints={(1,2->1) (2,3->1) (2,3->2)}	56	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->1) (2,3->4)}	n=9 constraints={(1,2->1) (2,3->1) (2,3->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->1) (3,4->5)}	n=9 constraints={(1,2->1) (2,3->1) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->2) (2,3->3)}	n=9 constraints={(1,2->1) (2,3->2) (2,3->3)}	56	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->2) (2,3->4)}	n=9 constraints={(1,2->1) (2,3->2) (2,3->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->2) (2,4->3)}	n=9 constraints={(1,2->1) (2,3->2) (2,4->3)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->2) (3,4->1)}	n=9 constraints={(1,2->1) (2,3->2) (3,4->1)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->3) (3,4->1)}	n=9 constraints={(1,2->1) (2,3->3) (3,4->1)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->4) (3,4->1)}	n=9 constraints={(1,2->1) (2,3->4) (3,4->1)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (2,3->4) (3,4->5)}	n=9 constraints={(1,2->1) (2,3->4) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(1,2->1) (3,4->1) (3,4->5)}	n=9 constraints={(1,2->1) (3,4->1) (3,4->5)}	840	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->2) (2,3->4)}	n=9 constraints={(2,3->1) (2,3->2) (2,3->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->2) (2,4->2)}	n=9 constraints={(2,3->1) (2,3->2) (2,4->2)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->2) (2,4->4)}	n=9 constraints={(2,3->1) (2,3->2) (2,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->2) (3,4->1)}	n=9 constraints={(2,3->1) (2,3->2) (3,4->1)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->2) (3,4->5)}	n=9 constraints={(2,3->1) (2,3->2) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->2)}	n=9 constraints={(2,3->1) (2,3->2)}	56	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,4->1)}	n=9 constraints={(2,3->1) (2,3->4) (2,4->1)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,4->2)}	n=9 constraints={(2,3->1) (2,3->4) (2,4->2)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,4->4)}	n=9 constraints={(2,3->1) (2,3->4) (2,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,4->5)}	n=9 constraints={(2,3->1) (2,3->4) (2,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,5->1)}	n=9 constraints={(2,3->1) (2,3->4) (2,5->1)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,5->2)}	n=9 constraints={(2,3->1) (2,3->4) (2,5->2)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,5->3)}	n=9 constraints={(2,3->1) (2,3->4) (2,5->3)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4) (2,5->5)}	n=9 constraints={(2,3->1) (2,3->4) (2,5->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,3->4)}	n=9 constraints={(2,3->1) (2,3->4)}	168	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->2) (2,4->4)}	n=9 constraints={(2,3->1) (2,4->2) (2,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->2) (3,4->2)}	n=9 constraints={(2,3->1) (2,4->2) (3,4->2)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->2) (3,4->4)}	n=9 constraints={(2,3->1) (2,4->2) (3,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->2) (3,4->5)}	n=9 constraints={(2,3->1) (2,4->2) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->2)}	n=9 constraints={(2,3->1) (2,4->2)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->3) (2,4->4)}	n=9 constraints={(2,3->1) (2,4->3) (2,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->3) (3,4->4)}	n=9 constraints={(2,3->1) (2,4->3) (3,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->3)}	n=9 constraints={(2,3->1) (2,4->3)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->4) (3,4->4)}	n=9 constraints={(2,3->1) (2,4->4) (3,4->4)}	168	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->4) (3,4->5)}	n=9 constraints={(2,3->1) (2,4->4) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->4)}	n=9 constraints={(2,3->1) (2,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->1) (2,4->5)}	n=9 constraints={(2,3->1) (2,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->3) (2,4->2)}	n=9 constraints={(2,3->2) (2,3->3) (2,4->2)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->3) (2,4->3)}	n=9 constraints={(2,3->2) (2,3->3) (2,4->3)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->3) (2,4->5)}	n=9 constraints={(2,3->2) (2,3->3) (2,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->3)}	n=9 constraints={(2,3->2) (2,3->3)}	28	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->4) (2,4->2)}	n=9 constraints={(2,3->2) (2,3->4) (2,4->2)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->4) (2,4->4)}	n=9 constraints={(2,3->2) (2,3->4) (2,4->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->4) (3,4->5)}	n=9 constraints={(2,3->2) (2,3->4) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,3->4)}	n=9 constraints={(2,3->2) (2,3->4)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,4->3) (3,4->5)}	n=9 constraints={(2,3->2) (2,4->3) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,4->3)}	n=9 constraints={(2,3->2) (2,4->3)}	336	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,4->4) (3,4->5)}	n=9 constraints={(2,3->2) (2,4->4) (3,4->5)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->2) (2,4->5) (3,4->2)}	n=9 constraints={(2,3->2) (2,4->5) (3,4->2)}	1680	support8 target9 antecedent-only quotient representative
n=9 constraints={(2,3->4) (2,4->5)}	n=9 constraints={(2,3->4) (2,4->5)}	1680	support8 target9 antecedent-only quotient representative
