metric	value
lemma_name	obstruction_preservation_or_higher_support_escape
exact_statement	Recognized family-chain source-form lifts have well-defined source/target payloads and a phase2 refinement relation; semantic preservation remains conditional, while unproved preservation or reduction routes to named blocker or higher-support escape.
assumption_count	10
conclusion	payload relation/correspondence are formalized, phase3 projection/canonical obligations are proof-ready, and delete/project/contraction/compression operations have smaller-witness routes under preconditions; status preservation and family-chain absorption remain open
source_form_recognizer_used	recognizer_contract_ready_soundness_proof_sketch
refined_lift_map_used	refined_lift_map_defined_for_recognized_sources_preservation_open
obstruction_payload_semantics	payload_semantics_contract_ready_preservation_open
counterexample_status_semantics	counterexample_status_contract_ready_preservation_or_reduction_open
verified_inputs_used	family_chain_refined_lift_map_90.tsv;family_chain_obstruction_payload_semantics_90.tsv;family_chain_counterexample_status_preservation_90.tsv;family_chain_support_absorption_90.tsv;family_chain_lower_layers_fingerprint_90.tsv
phase2_skeleton	family_chain_lift_map_refinement_phase2_skeleton_90.tsv
phase3_skeleton	family_chain_lift_phase3_skeleton_90.tsv
preservation_obligation_count	11
proved_under_current_scope_sublemma_count	6
proof_sketch_only_sublemma_count	5
blocked_sublemma_count	1
case_split	exact_payload_equality;layerwise_payload_refinement;status_preserved;smaller_witness_construction;refinement_failure_escape;out_of_scope_non_family_chain_case
missing_steps	layer-specific projection payload preservation;canonical lift soundness sublemma;counterexample status preservation theorem;remaining operation-specific smaller witness construction for family-chain absorption
exact_caveat	full_general_theorem_not_proved_and_arbitrary_support_growth_lift_not_proved
status_congruence_bridge_status	partial_status_congruence_classified_open
final_status	partial_preservation_status_congruence_classified_operation_proofs_open
next_blocker	higher_support_necessity_recheck
