semantic_component	definition	input_witness_condition	absorption_trigger	family_chain_target_layer	family_chain_target_object	absorption_rule	output_or_contradiction	support_effect	canonical_measure_effect	payload_effect	counterexample_status_effect	relation_to_family_chain_theorem	relation_to_family_chain_lower_layers	relation_to_higher_support_escape	current_status	caveat
input_witness_form	Normal support>8 witness with recognized family-chain source component and no earlier selected operation already applied.	support>8;normal form;recognized source form	trigger not yet evaluated	not selected	not constructed	none	input witness	unchanged	unchanged	source payload available	status unresolved	none	uses recognition package only	not escape	contract_ready	Recognized source-form only.
preconditions	Absorption requires trigger, target layer, target object, theorem applicability, payload relation, and status/refutation relation.	normal recognized witness	trigger must hold	layer selected by trigger	object from fresh family-chain package	apply absorption if all preconditions hold	contradiction or smaller witness	negative only in smaller-witness branch	may decrease in smaller-witness branch	payload must be preserved or refined	status must be preserved, reduced, or refuted	theorem applicability is a precondition	7/7 freshness supports object existence	failure is named escape/blocker	proof_sketch_ready	Preconditions are not automatically satisfied by freshness.
absorption_trigger	A finite predicate matching an absorbable support-growth component to a bounded family-chain pattern.	recognized component present	trigger true or false	layer determined by component	target object shape determined	route to target construction	no output yet	none	none	payload slice identified	status slice identified	not theorem itself	uses lower-layer index	trigger false becomes non-absorbable branch	contract_ready	Trigger false is not operation success.
target_layer_selection	Choose pair52 through high57 target layer according to matched family-chain component arity/depth.	triggered recognized witness	trigger true	selected bounded layer	object layer declared	use layer-specific theorem package	target layer	none	none	payload layer fixed	status layer fixed	bounded theorem layer condition	7/7 fresh lower layer evidence	layer selection failure is named escape	proof_sketch_ready	Layer choice does not prove semantic preservation.
target_object_construction	Construct the bounded family-chain object from source payload, layer projection, and canonical lift data.	triggered witness	trigger true	selected layer	target object candidate	map source component to target object	theorem-applicable target candidate	none	none	payload transfer proof required	status transfer proof required	required before theorem use	fresh package supplies available objects	construction failure is named blocker	proof_sketch_ready	Construction is conditional on phase2/phase3 contracts.
contradiction_branch	If target object is valid and theorem applies to the same obstruction payload, the source counterexample branch is refuted.	target object valid	trigger true	selected layer	bounded theorem object	apply bounded theorem	contradiction_by_family_chain_theorem	closed not smaller witness	closed not smaller witness	payload equality/refinement required	counterexample refuted	uses bounded family-chain theorem	uses fresh target package	theorem mismatch becomes escape	proof_sketch_ready	Refutation is not the same as status preservation.
smaller_witness_branch	If the absorbable component can be removed or replaced while preserving/reducing status, normalize the residual witness.	target object valid but no direct contradiction	trigger true	selected layer	absorbed component	absorb component and normalize	smaller_witness_by_absorption	negative only if component removal lowers support tuple	may decrease if canonical rank drops	payload relation must be preserved	status must be preserved or reduced	theorem justifies removal under matched target	uses lower-layer target object	measure/status failure becomes blocker	blocked_by_measure	Strict decrease is not proved for every absorption shape.
normal_form_effect	Output candidate must be re-normalized after absorption.	smaller-witness branch	trigger true	selected layer	absorbed object	normalize after removal or replacement	normal witness candidate	should not increase support tuple	should not increase canonical rank	payload relation must survive normalization	status relation must survive normalization	not direct theorem property	normal form independent of freshness	normalization failure named blocker	proof_sketch_ready	Normal-form preservation remains proof-sketch.
payload_effect	Source payload and absorbed target payload must satisfy phase2/phase3 refinement or be routed to blocker.	recognized witness	trigger true	selected layer	target payload	payload transfer/refinement	payload preserved or refined	none	none	refinement proof required	status depends on payload semantics	theorem sees target payload	lower layers do not prove payload equality	payload failure named blocker	proof_sketch_ready	Payload preservation is not completed.
counterexample_status_effect	Status outcome is preservation, reduction, or refutation; not assumed globally.	recognized counterexample witness	trigger true	selected layer	target status	status transfer or theorem refutation	preserved/reduced/refuted or blocked	none unless smaller witness	valid only if status outcome holds	payload prerequisite	status preservation open	theorem refutes target only	freshness not enough	status failure named blocker	blocked_by_counterexample_status	Major remaining blocker.
failure_escape	If no trigger applies or semantic transfer fails, the residual branch is named before higher-support recheck.	recognized or irreducible witness	trigger false or transfer failure	no valid target	no valid target	no successful absorption	named escape/blocker	no decrease	no decrease	not proved	not proved	not theorem closure	outside lower-layer target	higher_support_or_status_congruence_bridge	classified_as_escape	Not closed by this round.
final_semantics_status	Family-chain absorption semantics are contract-ready with contradiction and smaller-witness branches separated.	all current preconditions named	trigger named	layer/object named	target named	operation defined	partial output contract	conditional	conditional	conditional	conditional	conditional theorem use	7/7 freshness used only as target availability	named escape retained	family_chain_absorption_semantics_contract_ready	No full support-reduction theorem claim.
