item_key	display_name	current_validation_status	current_provenance_source	imported_source_tag	current_authoritative_accessor	current_constructor_path	current_cache_path	direct_consumers	human_scope_labels	caveat
support_plus_one_frontier	support-plus-one frontier	current_verified	fresh_current_runtime_generated	support_plus_one_frontier_output_67	support_plus_one_frontier_theorem_data_	scan_general_structured_schema_frontier_	/mnt/data/support_plus_one_candidate_universe_90.tsv;/mnt/data/support_plus_one_survivor_fingerprints_70.tsv;/mnt/data/support_plus_one_antecedent_index_70.tsv;/mnt/data/support8_plus_one_progress_cache_70.tsv;/mnt/data/support8_plus_one_result_cache_70.tsv;/mnt/data/support8_plus_one_target9_oracle_snapshot_70.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	67 minimal frontier layer	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_one_frontier	antecedent-plus-one frontier	current_verified	fresh_current_runtime_generated	support_plus_one_frontier_output_67	antecedent_plus_one_frontier_theorem_data_	scan_general_structured_schema_frontier_	/mnt/data/antecedent_plus_one_candidate_universe_90.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	67 minimal frontier layer	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
mixed_outside_bounded_frontier	mixed outside-bounded frontier	current_verified	fresh_current_runtime_generated	mixed_outside_bounded_frontier_output_69	mixed_outside_bounded_frontier_theorem_data_	scan_mixed_outside_bounded_frontier_	/mnt/data/mixed_frontier_candidate_universe_70.tsv;/mnt/data/mixed_frontier_local_exact_survivors_70.tsv;/mnt/data/mixed_frontier_antecedent_index_70.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	69 mixed outside-bounded layer	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_two_frontier	antecedent_plus_two_frontier	current_verified	fresh_current_runtime_generated	support8_shell5_frontier_output_70	antecedent_plus_two_frontier_theorem_data_	scan_antecedent_shell5_frontier_	/mnt/data/antecedent_shell5_candidate_universe_71_antecedent_plus_two_frontier.tsv;/mnt/data/antecedent_shell5_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell5_plus_one_result_cache_71.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	70 shell5 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
support8_antecedent5_frontier	support8_antecedent5_frontier	current_verified	fresh_current_runtime_generated	support8_shell5_frontier_output_70	support8_antecedent5_frontier_theorem_data_	scan_antecedent_shell5_frontier_	/mnt/data/antecedent_shell5_candidate_universe_71_support8_antecedent5_frontier.tsv;/mnt/data/antecedent_shell5_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell5_plus_one_result_cache_71.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	70 shell5 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_three_frontier	antecedent_plus_three_frontier	current_verified	fresh_current_runtime_generated	support8_shell6_frontier_output_71	antecedent_plus_three_frontier_theorem_data_	scan_antecedent_shell6_frontier_	/mnt/data/antecedent_plus_three_candidate_universe_71.tsv;/mnt/data/antecedent_shell6_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell6_plus_one_result_cache_71.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	71 shell6 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
support8_antecedent6_frontier	support8_antecedent6_frontier	current_verified	fresh_current_runtime_generated	support8_shell6_frontier_output_71	support8_antecedent6_frontier_theorem_data_	scan_antecedent_shell6_frontier_	/mnt/data/support8_antecedent6_candidate_universe_71.tsv;/mnt/data/antecedent_shell6_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell6_plus_one_result_cache_71.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	71 shell6 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_four_frontier	antecedent_plus_four_frontier	current_verified	fresh_current_runtime_generated	support8_shell7_and_shell8_frontier_output_72	antecedent_plus_four_frontier_theorem_data_	scan_antecedent_shell7_frontier_	/mnt/data/antecedent_plus_four_candidate_universe_73.tsv;/mnt/data/antecedent_shell7_local_exact_result_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_progress_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_survivors_73.tsv;/mnt/data/antecedent_shell7_plus_one_result_cache_73.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	72 shell7 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
support8_antecedent7_frontier	support8_antecedent7_frontier	current_verified	fresh_current_runtime_generated	support8_shell7_and_shell8_frontier_output_72	support8_antecedent7_frontier_theorem_data_	scan_antecedent_shell7_frontier_	/mnt/data/support8_antecedent7_candidate_universe_73.tsv;/mnt/data/antecedent_shell7_local_exact_result_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_progress_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_survivors_73.tsv;/mnt/data/antecedent_shell7_plus_one_result_cache_73.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	72 shell7 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
antecedent_plus_five_frontier	antecedent_plus_five_frontier	current_verified	fresh_current_runtime_generated	support8_shell7_and_shell8_frontier_output_72	antecedent_plus_five_frontier_theorem_data_	scan_antecedent_shell8_frontier_	/mnt/data/antecedent_plus_five_candidate_universe_76.tsv;/mnt/data/antecedent_shell8_local_exact_result_cache_76.tsv;/mnt/data/antecedent_shell8_local_exact_progress_cache_76.tsv;/mnt/data/antecedent_shell8_local_exact_survivors_76.tsv;/mnt/data/antecedent_shell8_plus_one_result_cache_76.tsv	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	72 shell8 pair	Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.
