region_index	kind	region_fingerprint	source_family_fingerprints	symbol_bound	antecedent_bound	raw_candidates	canonical_candidates	out_of_pool_candidates	local_exact_survivors	plus_one_survivors	theorem_preserving_survivors	why
0	family_one_step	family-local:n=5 antecedents=[(2,3->4)] => (2,3->2)	n=5 antecedents=[(2,3->4)] => (2,3->2)	5	3	1	1	1	0	0	0	family=n=5 antecedents=[(2,3->4)] => (2,3->2) raw=1 canonical=1 outOfPool=1 schema candidate universe atoms=1 raw=1 canonical=1 ; bounded out-of-pool expansion region scanned
1	family_one_step	family-local:n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	5	3	3	3	3	0	0	0	family=n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) raw=3 canonical=3 outOfPool=3 schema candidate universe atoms=2 raw=3 canonical=3 ; bounded out-of-pool expansion region scanned
2	family_one_step	family-local:n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)	n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)	5	3	3	3	3	0	0	0	family=n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) raw=3 canonical=3 outOfPool=3 schema candidate universe atoms=2 raw=3 canonical=3 ; bounded out-of-pool expansion region scanned
3	family_one_step	family-local:n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	5	3	3	3	3	0	0	0	family=n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) raw=3 canonical=3 outOfPool=3 schema candidate universe atoms=2 raw=3 canonical=3 ; bounded out-of-pool expansion region scanned
4	family_one_step	family-local:n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	5	3	3	3	3	0	0	0	family=n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=3 canonical=3 outOfPool=3 schema candidate universe atoms=2 raw=3 canonical=3 ; bounded out-of-pool expansion region scanned
5	family_one_step	family-local:n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	5	3	7	7	7	0	0	0	family=n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=7 canonical=7 outOfPool=7 schema candidate universe atoms=3 raw=7 canonical=7 ; bounded out-of-pool expansion region scanned
6	family_one_step	family-local:n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	6	3	7	7	7	0	0	0	family=n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=7 canonical=7 outOfPool=7 schema candidate universe atoms=3 raw=7 canonical=7 ; bounded out-of-pool expansion region scanned
7	pair_merged	merged:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	7	3	14	14	14	0	0	0	mergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) raw=14 canonical=14 outOfPool=14 ; bounded out-of-pool expansion region scanned
8	pair_merged	merged:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)	7	3	10	10	10	0	0	0	mergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) raw=14 canonical=10 outOfPool=10 ; bounded out-of-pool expansion region scanned
9	pair_merged	merged:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	7	3	14	14	14	0	0	0	mergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) raw=14 canonical=14 outOfPool=14 ; bounded out-of-pool expansion region scanned
10	pair_merged	merged:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	14	14	14	0	0	0	mergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=14 canonical=14 outOfPool=14 ; bounded out-of-pool expansion region scanned
