metric	value
operation_lemma_name	delete_redundant_support_coordinate_smaller_witness
selected_operation	delete_redundant_support_coordinate
exact_statement	If a normal support witness has a redundant support coordinate c, deleting c and renormalizing gives a smaller witness or refutes support-minimality under the selected support measure.
assumption_count	8
conclusion	Under the redundancy precondition, support_size strictly decreases and counterexample status transfers to a smaller witness; failure to satisfy the precondition is named non-application, not proof success.
input_witness_form	normal support witness W with finite support set S and coordinate c in S
output_witness_construction	W' = normalize(restrict(W,S_without_c))
support_measure_decrease	support_size k to k-1; lexicographic measure strictly decreases
normal_form_preservation	proof_sketch_ready
payload_refinement_preservation	proof_sketch_ready
counterexample_status_preservation_or_reduction	proved_under_current_scope_under_redundancy
failure_to_escape_case	no redundant coordinate -> next operation or named higher-support/non-family-chain escape after all operations fail
selected_operation_obligation_count	10
proved_under_current_scope_sublemma_count	4
proof_sketch_only_sublemma_count	6
blocked_sublemma_count	0
missing_steps	normal-form preservation under deletion;payload-refinement transfer;canonical reindexing;family-chain field irrelevance;other operation sublemmas
exact_caveat	Does not prove every support>8 witness has a redundant coordinate and does not prove all support-reduction operations.
final_status	proof_ready_skeleton_selected_delete_redundant_coordinate
next_blocker	prove_next_support_reduction_operation_sublemma
