obligation_key	description	required_for_limited_support8_statement	required_for_bounded_shell_statement	required_for_full_general_statement	existing_evidence	missing_evidence	current_status	dependency_on_shell16	dependency_on_higher_support	dependency_on_BOJ_bridge	proof_type_needed	estimated_difficulty	recommended_next_action
minimal_counterexample_reduction	Show that a broader counterexample reduces to a bounded checked form or named extension.	1	1	1	support8 closure;gap certificate;minimal counterexample scope/measure/normal-form/skeleton audit;shell16 promoted boundary facts;limited theorem proof	support-bound completion for broader scope	closed_for_limited_bridge_theorem	reviewed	possible	no	structural_reduction	medium	after_support_bound
support_bound_justification	Justify support8 sufficiency or identify when support9+ is required.	0	0	1	support8 closure;limited bridge theorem;support-bound scope/normal-form/measure;support-growth partition;phase2 relation;higher-support escape interface	layerwise semantic preservation;operation-specific smaller-witness construction;higher-support bound	proof_ready_skeleton_phase2_relation_ready_operation_open	no	yes	no	bound_theorem	high	family_chain_lift_phase3_if_needed
shell_bound_or_extension	Justify shell15/tail sufficiency or require shell16 attempt.	0	1	1	shell15 closure;tail pattern;optional shell16 ledger;shell16 promoted boundary facts	full absorption step only for arbitrary extensions	closed_for_limited_bridge_theorem_under_reviewed_boundary	reviewed	no	no	finite_extension_or_absorption	medium	after_support_bound
tail_monotonicity_or_tail_absorption	Show current tail pattern extends to longer/general tail.	0	1	1	tail pattern theorem;tail obstruction chain;tail monotonicity bridge skeleton;shell16 promoted boundary facts	full absorption step beyond reviewed first boundary	closed_for_limited_bridge_theorem_full_tail_still_open	reviewed	no	no	structural_tail_lemma	medium	after_support_bound
family_chain_lift	Lift bounded family-chain closure to the statement scope where needed.	1	1	1	family-chain theorem;7/7 lower layers fresh;recognizer;refined lift map;payload semantics;phase2 relation/correspondence	layer projection payload preservation;canonical lift soundness;counterexample status preservation	partial_lift_phase2_relation_ready_status_open	no	possible	no	payload_preservation_lemma	medium	family_chain_lift_phase3_if_needed
frontier_ladder_completeness	Show frontier ladder covers all obstruction cases in the selected scope.	1	1	1	direct lower-frontier subset fresh;inventory-only rows exposed	no proof that all broader cases are covered	partially_satisfied	possible	possible	no	coverage_lemma	medium	after_support_bound
canonicalization_soundness	Show runtime canonical row equality matches mathematical equivalence.	1	1	1	canonical runtime equality;rowset fingerprints;payload semantics	canonical payload mathematical equivalence	partially_satisfied	no	no	no	soundness_lemma	medium	canonicalization_commutes_with_lift_sublemma
finite_exhaustion_to_structural_lemma	Interpret finite scan results as a structural theorem under declared assumptions.	1	1	1	finite scans;support8 lock;gap certificate;limited bridge theorem proof;support-growth partition;payload semantics	full structural/general interpretation lemma	satisfied_for_limited_bridge_theorem	possible	possible	no	structural_interpretation	medium	after_support_bound
solver_constructivity_bridge	Connect a proved theorem to constructive BOJ solver procedure.	0	0	0	BOJ bridge notes;LCA bridge validators	no constructive algorithm or complexity proof	needs_constructive_algorithm	no	no	yes	constructive_algorithm	high	defer_to_BOJ_bridge_formalization
archive_independence	Show archival-only notes do not affect current proof correctness.	1	1	1	provenance inventory fresh 16 archival 3;closure certificate	none for current proof scope	satisfied_current_verified	no	no	no	provenance_separation	low	keep_as_certificate_caveat
