sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
status_language_well_defined	proved_under_current_scope	status language table is adopted	preserved/reduced/refuted/absorbed/escaped/not-applicable are distinct labels	The language is defined as a classification contract and explicitly forbids equating reduction with refutation or escape.	branch_4/90/runtime/status_preservation_language_90.tsv	none	use_as_bridge_language
delete_redundant_status_case_classified	proved_under_current_scope	redundant coordinate is unused by payload/certificate	selected case is reduced to a smaller witness under redundancy precondition	The prior selected operation skeleton already isolates support-size decrease and conditional status transfer under the redundancy precondition.	branch_4/90/runtime/support_reduction_selected_operation_skeleton_90.tsv	arbitrary-schema transfer proof	use_as_closed_selected_case
project_to_active_status_case_classified	proof_ready_skeleton_project_to_active_status_locality_open	active support is a strict subset and contains payload/certificate/status fields	case is classified as preserved, reduced, named blocker, or deferred escape	The project-to-active status skeleton isolates inactive-support status locality as the missing hypothesis while preserving measure-decrease and failure classification.	branch_4/90/runtime/project_to_active_status_skeleton_90.tsv	inactive-support counterexample-status locality;normal-form/source-form transfer	project_to_active_status_locality_refinement
coordinate_contraction_status_case_classified	proof_ready_skeleton_contract_equivalent_status_congruence_open	accepted equivalence relation has a nontrivial class	case is classified as preserved/reduced if equivalent-coordinate congruence holds, otherwise named operation blocker	Measure decrease is proved under nontrivial quotient, and the status follow-up isolates equivalent-coordinate counterexample-status congruence as the missing hypothesis.	branch_4/90/runtime/contract_equivalent_status_skeleton_90.tsv	equivalent-coordinate counterexample-status congruence;normal-form/source-form transfer	contract_equivalent_status_congruence_refinement
canonical_compression_status_case_classified	proof_ready_skeleton_canonical_compression_status_congruence_open	accepted compressible canonical motif lowers lexicographic measure	case is classified as preserved/reduced if canonical-motif status congruence holds, otherwise named operation blocker	Lexicographic measure decrease is proved under accepted compression, and the status follow-up isolates canonical-motif counterexample-status congruence as the missing hypothesis.	branch_4/90/runtime/canonical_compression_status_skeleton_90.tsv	canonical-motif counterexample-status congruence;normal-form/source-form transfer	canonical_compression_status_congruence_refinement
family_chain_absorption_status_case_classified	proof_ready_skeleton_family_chain_absorption_status_refutation_measure_open	recognized absorption trigger has a fresh target package	case is classified as refuted/absorbed/reduced/blocker/escape	Trigger and target package are first-class; lifted-target refutation is proof-sketch ready, while direct source refutation and residual smaller witness need source-target alignment and measure decrease.	branch_4/90/runtime/family_chain_absorption_status_skeleton_90.tsv	source-target alignment;residual measure decrease;status preservation/refutation congruence	project_to_active_status_locality_refinement
status_reduction_requires_measure_decrease	proved_under_current_scope	status_reduced_to_smaller_witness is claimed	strict support/canonical measure decrease is required	The support-bound measure contract is well-founded; the bridge records that no reduction status is accepted without strict decrease.	branch_4/90/runtime/support_bound_measure_90.tsv	none	use_as_guard
status_refutation_uses_valid_contradiction	proof_sketch_only	status_refuted_by_contradiction is claimed	valid theorem contradiction must target the same payload/status branch	Family-chain absorption provides lifted-target contradiction shape, but source payload/status alignment remains a required hypothesis for direct source refutation.	branch_4/90/runtime/family_chain_absorption_refutation_lemma_90.tsv	payload/status alignment for contradiction	project_to_active_status_locality_refinement
status_escape_cases_are_disjoint	proved_under_current_scope_as_partition	selected status language is used	success, blocker, not-applicable, and higher-support escape are distinct case labels	The language and higher-support interface keep named blockers separate from deferred higher-support escape and from successful reductions/refutations.	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher-support bound after operation proofs close	higher_support_necessity_recheck_after_operation_refinements
no_hidden_status_case	proof_sketch_only	witness belongs to current selected operation taxonomy	status branch is classified or named	The operation status table covers selected operations, downstream frontier/tail, and deferred irreducible escape. Arbitrary witness completeness remains outside this bridge.	branch_4/90/runtime/support_reduction_operation_status_table_90.tsv	arbitrary witness completeness proof	higher_support_necessity_recheck_after_operation_refinements
