metric	value
operation_lemma_name	canonical_motif_compression_smaller_witness
selected_operation	canonical_motif_compression
exact_statement	If a normal support witness has an accepted compressible canonical motif, then rewriting it to the compressed motif and normalizing gives a smaller witness candidate under lexicographic support measure; semantic status preservation remains conditional.
assumption_count	10
conclusion	Canonical motif notation, compression semantics, compressed witness construction, and lexicographic measure decrease are current-scope proved under accepted compression preconditions; normal-form, payload, canonicalization, and status preservation remain open at different levels.
canonical_motif_definition	finite canonical row with support, payload, certificate-role, and motif-rank data
input_witness_form	normal support witness W with finite support and canonical motif M
compression_construction	W_comp = normalize(rewrite(W,M,M_comp)) for accepted lower-rank compressed motif M_comp
support_measure_decrease	support_size decreases when compression removes support atoms
canonical_measure_decrease	if support size is fixed, motif_rank decreases strictly
normal_form_preservation	proof_sketch_ready
payload_refinement_preservation	proof_sketch_ready
counterexample_status_preservation_or_reduction	blocked_by_counterexample_status
canonicalization_compatibility	proof_sketch_ready
family_chain_source_form_preservation	proof_sketch_ready
failure_to_escape_case	no accepted compression -> next operation; no decrease -> not operation success; preservation failure -> named blocker; all operations fail -> higher-support escape
relation_to_coordinate_contraction	coordinate contraction quotients equivalent coordinates; motif compression rewrites a lower-rank canonical motif without requiring coordinate equivalence
relation_to_project_to_active_support	project-to-active removes inactive support; motif compression applies after all remaining support may still be active
canonical_motif_compression_obligation_count	12
proved_under_current_scope_sublemma_count	6
proof_sketch_only_sublemma_count	3
blocked_sublemma_count	1
missing_steps	normal-form preservation under motif rewrite;payload refinement theorem;counterexample-status preservation or reduction theorem;canonical compression commutation;family-chain source-form preservation;family-chain absorption reduction
exact_caveat	Does not prove every support>8 witness has a compressible motif and does not prove all support-reduction operations.
final_status	partial_compression_proved_escape_open
next_blocker	prove_next_support_reduction_operation_sublemma
