metric	value
selected_operation	contract_equivalent_support_coordinates
notation_status	equivalent_support_coordinate_notation_contract_ready
semantics_status	coordinate_contraction_semantics_contract_ready
smaller_witness_status	coordinate_contraction_smaller_witness_measure_proved_congruence_open
obligation_count	14
proved_sublemma_count	6
proof_sketch_sublemma_count	4
blocked_sublemma_count	1
status_skeleton_status	proof_ready_skeleton_contract_equivalent_status_congruence_open
final_status	partial_contract_equivalent_status_proof_ready_congruence_open
next_target	canonical_compression_status_preservation
fingerprint	contract_equivalent_support_coordinates|equivalence_contract|6|4|1|partial_contract_equivalent_status_proof_ready_congruence_open
