index	num_symbols	premises	conclusion	support	fingerprint	human_readable
0	2		1,2,1	1878	n=2 antecedents=[] => (1,2->1)	n=2 antecedents=[] => (1,2->1) support=0 fingerprint=n=2 antecedents=[] => (1,2->1)
1	3		1,2,1	5276	n=3 antecedents=[] => (1,2->1)	n=3 antecedents=[] => (1,2->1) support=0 fingerprint=n=3 antecedents=[] => (1,2->1)
2	4	2,3,1;2,4,2	3,4,1	772	n=4 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)	n=4 antecedents=[(2,3->1) (2,4->2)] => (3,4->1) support=0 fingerprint=n=4 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)
3	4	2,3,1;2,4,4	3,4,1	615	n=4 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)	n=4 antecedents=[(2,3->1) (2,4->4)] => (3,4->1) support=0 fingerprint=n=4 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)
4	4	2,3,2;2,4,4	3,4,4	605	n=4 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)	n=4 antecedents=[(2,3->2) (2,4->4)] => (3,4->4) support=0 fingerprint=n=4 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)
5	4	2,3,4	2,4,4	2030	n=4 antecedents=[(2,3->4)] => (2,4->4)	n=4 antecedents=[(2,3->4)] => (2,4->4) support=0 fingerprint=n=4 antecedents=[(2,3->4)] => (2,4->4)
6	4		1,2,1	7347	n=4 antecedents=[] => (1,2->1)	n=4 antecedents=[] => (1,2->1) support=0 fingerprint=n=4 antecedents=[] => (1,2->1)
7	5	2,3,1;2,4,2	3,4,1	2036	n=5 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)	n=5 antecedents=[(2,3->1) (2,4->2)] => (3,4->1) support=0 fingerprint=n=5 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)
8	5	2,3,1;2,4,4	3,4,1	1537	n=5 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)	n=5 antecedents=[(2,3->1) (2,4->4)] => (3,4->1) support=0 fingerprint=n=5 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)
9	5	2,3,2;2,4,2;3,4,5	2,5,2	127	n=5 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2)	n=5 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2) support=0 fingerprint=n=5 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2)
